A;Exp;Cdef;Adef;Xdef;Bdef;Dcomp;B;Fit;Diff
1001;0.157482261538462;0.103129522802915;0.0178399232904119;0.05371348116348;0.106848023996268;0;;0.230180400749328;-0.0726981392108661
1002;0.162228169230769;0.102506730957734;0.0193182598245531;0.051727469848956;0.109279007092177;0;;0.227211756462655;-0.0649835872318853
1003;0.167414353846154;0.103388241380115;0.0163981460208651;0.051156756776232;0.111420142283797;0;;0.22373971555553;-0.0563253617093765
1004;0.172599907692308;0.105358096694852;0.0194026100756891;0.051434348723388;0.114432744315686;0;;0.229569665224886;-0.0569697575325784
1005;0.177406369230769;0.104124764707807;0.0188299416092526;0.05111535114504;0.114838750302739;0;;0.227068402768065;-0.0496620335372955
1006;0.181896815384615;0.105984973055813;0.0145714992851767;0.051980500955052;0.11477035637772;0;;0.225974624179611;-0.0440778087949958
1007;0.186196769230769;0.106219936900606;0.0177589231786129;0.050795931012048;0.116104339196371;0;;0.227346614421176;-0.0411498451904066
1008;0.190685323076923;0.10806672566268;0.0202316813661577;0.051158218593276;0.117723963286338;0;;0.232638012352005;-0.0419526892750822
1009;0.195424923076923;0.107821176498662;0.0163817706376376;0.050963032123776;0.118667470273368;0;;0.227767188447615;-0.032342265370692
1010;0.200605430769231;0.10737833692434;0.0169540457652704;0.048870200932056;0.119779731581204;0;;0.223768189130249;-0.0231627583610182
1011;0.206163769230769;0.10764063967182;0.0187170894232574;0.04892158041174;0.119378805506863;0;;0.226072598860883;-0.0199088296301142
1012;0.211784553846154;0.109339065543771;0.0146752197020528;0.049415947142796;0.11866426742686;0;;0.224313701501621;-0.0125291476554674
1013;0.216836384615385;0.110095176106957;0.015405101375156;0.051195401039988;0.116513777321992;0;;0.229431589699605;-0.0125952050842201
1014;0.220942061538462;0.111661574693206;0.0190896198961875;0.050565836190924;0.115687519691496;0;;0.23379182896086;-0.0128497674223982
1015;0.224352;0.112679779629027;0.0160408843036605;0.05249575733274;0.113876898212779;0;;0.235316267028533;-0.0109642670285331
1016;0.227509630769231;0.113822301366585;0.0145892413759008;0.054054456779628;0.112338021429131;0;;0.237979380439332;-0.0104697496701009
1017;0.230666;0.114854509829646;0.0169249753882447;0.05601671929494;0.10968394020097;0;;0.245505421346595;-0.0148394213465947
1018;0.233758661538462;0.118364216529422;0.0152144781893747;0.055455785209008;0.106882121594057;0;;0.24601171295575;-0.0122530514172884
1019;0.236661461538462;0.118813432128152;0.013195133421809;0.056510956118196;0.10559993140489;0;;0.246349991128534;-0.00968852959007213
1020;0.239436846153846;0.119578752982452;0.018236088854737;0.0585450817389;0.104469578475555;0;;0.256728614200462;-0.0172917680466163
1021;0.242148523076923;0.120328153752672;0.0172486874299019;0.060143968518012;0.102701156585377;0;;0.259589646961588;-0.0174411238846649
1022;0.2450488;0.122828074106263;0.0144109616896675;0.061280927724708;0.101342860986692;0;;0.261241987414313;-0.0161931874143128
1023;0.248137676923077;0.124322083025252;0.0163297720202915;0.063087183963;0.0990972601588847;0;;0.268459200173573;-0.0203215232504959
1024;0.251225292307692;0.125663811729955;0.0171686928749139;0.065007553574772;0.096749242114541;0;;0.274564481041904;-0.0233391887342115
1025;0.2542492;0.126943319336932;0.0148366186516037;0.064825638249924;0.0950741206553492;0;;0.272914876353544;-0.0186656763535442
1026;0.256894015384615;0.128874833680065;0.0172663818822112;0.066559950367596;0.0950151146685879;0;;0.280987754485689;-0.0240937391010734
1027;0.259411415384615;0.130635771391044;0.0181457284381801;0.068939810953848;0.093688522644216;0;;0.288475694580738;-0.0290642791961226
1028;0.262054969230769;0.13226401612323;0.0139869379528462;0.068663079941112;0.0932206716783805;0;;0.284975807753585;-0.0229208385228156
1029;0.2651388;0.133214457436301;0.01556270341429;0.07153388005446;0.0910267678813465;0;;0.29340119130094;-0.0282623913009402
1030;0.268599830769231;0.135217319572464;0.0177278262376685;0.072591763910904;0.0893518867225507;0;;0.299901456255708;-0.0313016254864767
1031;0.272250092307692;0.137881106150567;0.0153758449508074;0.073345025786148;0.0882624335289785;0;;0.301484587168751;-0.0292344948610586
1032;0.276025246153846;0.136980299848671;0.0165641131081438;0.076790405028348;0.0875266554432639;0;;0.308781634324326;-0.0327563881704794
1033;0.280367461538462;0.139477760887343;0.0199037623374583;0.077222638748232;0.0867271834127903;0;;0.315817176955011;-0.0354497154165494
1034;0.285465969230769;0.141362890621022;0.0178006518549822;0.077629272364656;0.0856734884824923;0;;0.316202152390815;-0.0307361831600452
1035;0.291131538461539;0.143126787377745;0.0164124632958181;0.079897505067936;0.0848318474260991;0;;0.320975507139017;-0.0298439686774785
1036;0.296985076923077;0.143651768439169;0.0187491861271515;0.080508031810812;0.0835611428426617;0;;0.32529193680066;-0.0283068598775827
1037;0.302648753846154;0.146170358933062;0.0193703749628869;0.082792069805628;0.0830587548146604;0;;0.333061911003494;-0.0304131571573402
1038;0.307933338461539;0.147725047344724;0.0182056247321954;0.083820178558116;0.0827023820849969;0;;0.335391591666371;-0.0274582532048323
1039;0.313028061538462;0.146893213116748;0.0208020850766012;0.084162209970384;0.0816219983121589;0;;0.338099926641777;-0.0250718651033158
1040;0.318310753846154;0.146975271008042;0.020547459036691;0.084693352891032;0.080612070644411;0;;0.338964181730466;-0.0206534278843117
1041;0.323971907692308;0.149607801359292;0.0178031625281979;0.085897805340924;0.0794646290109624;0;;0.340986890822158;-0.0170149831298502
1042;0.329694876923077;0.149517366676268;0.0201289130738165;0.087512822181072;0.0790578414320242;0;;0.34668481541961;-0.0169899384965328
