# Absorption coefficients
# HITRAN. Molecule CO2. Isotopologue(s): 636.
# Wavenumber range: 2200-2500 cm-1, T: 296 K, P: 1 atm, step: 0.01002 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

 2201.093400    2.0961522077E-05    8.4543680021E-25
 2201.103420    1.9328830321E-05    7.7958577620E-25
 2201.113440    1.7777245428E-05    7.1700601877E-25
 2201.123460    1.6373800279E-05    6.6040115144E-25
 2201.133480    1.5152172827E-05    6.1112950024E-25
 2201.143500    1.4120964006E-05    5.6953796491E-25
 2201.153520    1.3273798717E-05    5.3536941986E-25
 2201.163540    1.2597065049E-05    5.0807485871E-25
 2201.173560    1.2077085374E-05    4.8710262436E-25
 2201.183580    1.1700138686E-05    4.7189931039E-25
 2201.193600    1.1455754166E-05    4.6204259932E-25
 2201.203620    1.1336747774E-05    4.5724273875E-25
 2201.213640    1.1338722983E-05    4.5732240444E-25
 2201.223660    1.1459401797E-05    4.6218971850E-25
 2201.233680    1.1696845133E-05    4.7176647217E-25
 2201.243700    1.2046683419E-05    4.8587642851E-25
 2201.253720    1.2498064078E-05    5.0408187269E-25
 2201.263740    1.3027930415E-05    5.2545286372E-25
 2201.273760    1.3602153995E-05    5.4861290641E-25
 2201.283780    1.4172463245E-05    5.7161507323E-25
 2201.293800    1.4693373305E-05    5.9262483258E-25
 2201.303820    1.5140507767E-05    6.1065901576E-25
 2201.313840    1.5523873414E-05    6.2612122432E-25
 2201.323860    1.5883027289E-05    6.4060690440E-25
 2201.333880    1.6264913172E-05    6.5600942994E-25
 2201.343900    1.6691342068E-05    6.7320849973E-25
 2201.353920    1.7146686969E-05    6.9157383286E-25
 2201.363940    1.7568211779E-05    7.0857510716E-25
 2201.373960    1.7862674355E-05    7.2045160626E-25
 2201.383980    1.7941743462E-05    7.2364068447E-25
 2201.394000    1.7761245418E-05    7.1636069360E-25
 2201.404020    1.7351520990E-05    6.9983536170E-25
 2201.414040    1.6788663020E-05    6.7713372586E-25
 2201.424060    1.6165844887E-05    6.5201372895E-25
 2201.434080    1.5557181670E-05    6.2746463940E-25
 2201.444100    1.5003333938E-05    6.0512641166E-25
 2201.454120    1.4500078753E-05    5.8482872278E-25
 2201.464140    1.4069292338E-05    5.6745390207E-25
 2201.474160    1.3685894798E-05    5.5199040718E-25
 2201.484180    1.3365954505E-05    5.3908632051E-25
 2201.494200    1.3075214986E-05    5.2735998270E-25
 2201.504220    1.2841524434E-05    5.1793458927E-25
 2201.514240    1.2686520559E-05    5.1168284954E-25
 2201.524260    1.2617113186E-05    5.0888345610E-25
 2201.534280    1.2641628807E-05    5.0987223968E-25
 2201.544300    1.2772927824E-05    5.1516789615E-25
 2201.554320    1.2999592919E-05    5.2430993328E-25
 2201.564340    1.3337881934E-05    5.3795407521E-25
 2201.574360    1.3793399846E-05    5.5632638637E-25
 2201.584380    1.4399529794E-05    5.8077330210E-25
 2201.594400    1.5119434728E-05    6.0980908116E-25
 2201.604420    1.5995702511E-05    6.4515141116E-25
 2201.614440    1.7051145666E-05    6.8772038495E-25
