x;GC790B;GC859C;GC727H;GC874C-1;GC874C-2;GC756B;GC801B
2270,65;0,74832;0,6212;0,35214;0,27227;0,20343;0,09329;0,13116
2271,196;0,74728;0,62012;0,35041;0,27036;0,20214;0,09147;0,1301
2271,274;0,74714;0,61997;0,35016;0,27009;0,20195;0,09121;0,12995
2271,841;0,74612;0,61885;0,34843;0,26804;0,20064;0,08929;0,1289
2271,966;0,74591;0,6186;0,34805;0,26758;0,20035;0,08886;0,12868
2272,866;0,74441;0,61682;0,34543;0,26423;0,19834;0,08572;0,12709
2276,642;0,7385;0,60934;0,33548;0,2501;0,19072;0,07263;0,12086
2276,983;0,73794;0,60867;0,33462;0,24891;0,19006;0,07154;0,12029
2277,804;0,73654;0,60697;0,33252;0,24614;0,18849;0,06905;0,11887
2277,832;0,73649;0,60691;0,33245;0,24605;0,18844;0,06897;0,11882
2277,998;0,7362;0,60657;0,33202;0,24551;0,18812;0,06849;0,11853
2278,227;0,73579;0,6061;0,33143;0,24477;0,18768;0,06784;0,11812
2279,397;0,73356;0,60368;0,32833;0,2411;0,18541;0,06478;0,11596
2282,632;0,72693;0,597;0,31903;0,23163;0,17894;0,05819;0,10951
2283,241;0,72571;0,59574;0,3171;0,22988;0,17771;0,05723;0,10824
2284,091;0,72407;0,59406;0,31431;0,22749;0,17602;0,05604;0,10646
2284,334;0,72362;0,59358;0,31348;0,22682;0,17554;0,05573;0,10594
2284,489;0,72334;0,59327;0,31295;0,2264;0,17524;0,05553;0,10562
2284,528;0,72327;0,59319;0,31282;0,2263;0,17516;0,05549;0,10553
2285,927;0,72092;0,59042;0,3078;0,2227;0,17249;0,05399;0,1026
2289,164;0,71638;0,58401;0,29642;0,21685;0,167;0,05227;0,09669
2289,772;0,71562;0,58281;0,29458;0,21634;0,16612;0,05224;0,09584
2290,48;0,71475;0,58191;0,29263;0,216;0,16517;0,05232;0,09498
2290,592;0,71461;0,58178;0,29234;0,21597;0,16503;0,05235;0,09486
2290,616;0,71458;0,58175;0,29228;0,21596;0,165;0,05235;0,09484
2291,057;0,71404;0,58126;0,29121;0,2159;0,16446;0,05249;0,09441
2292,184;0,71267;0,58023;0,28888;0,21602;0,16325;0,05307;0,09355
2292,735;0,71201;0,57985;0,28795;0,21619;0,16275;0,05345;0,09322
2295,415;0,70891;0,57912;0,28533;0,21686;0,16095;0,05599;0,09204
2296,025;0,70825;0,57912;0,28516;0,2168;0,16065;0,05666;0,09177
2297,007;0,70723;0,57888;0,28525;0,2165;0,16022;0,05776;0,09124
2297,117;0,70712;0,57886;0,28528;0,21645;0,16018;0,05789;0,09118
2297,136;0,7071;0,57886;0,28529;0,21644;0,16017;0,05791;0,09117
2297,584;0,70666;0,5788;0,28549;0,21623;0,15999;0,05841;0,09087
2298,709;0,70561;0,57886;0,2863;0,21558;0,15957;0,05966;0,09001
2300,08;0,70442;0,5795;0,28764;0,21464;0,15907;0,06116;0,08881
2302,212;0,70267;0,58352;0,28979;0,21317;0,15837;0,06347;0,08691
2302,545;0,7024;0,58468;0,29007;0,21297;0,15827;0,06383;0,08664
2303,799;0,70138;0,58825;0,2908;0,21227;0,15797;0,06517;0,08572
2303,915;0,70129;0,58865;0,29084;0,2122;0,15795;0,0653;0,08564
2303,927;0,70128;0,58869;0,29084;0,2122;0,15795;0,06531;0,08564
2304,11;0,70112;0,58937;0,29089;0,21209;0,15791;0,06551;0,08552
2304,388;0,70089;0,59051;0,29094;0,21194;0,15786;0,06581;0,08536
2305,505;0,69994;0,59658;0,29075;0,21124;0,15773;0,0671;0,0848
2306,163;0,69937;0,59968;0,29036;0,21074;0,1577;0,06797;0,08453
2308,242;0,69757;0,60502;0,28748;0,20842;0,15789;0,07187;0,08398
2308,739;0,69714;0,60485;0,28638;0,20764;0,158;0,07319;0,0839
2310,151;0,69597;0,60409;0,28221;0,20493;0,15847;0,07818;0,0838
2310,168;0,69596;0,60407;0,28215;0,2049;0,15848;0,07825;0,0838
2310,171;0,69596;0,60407;0,28214;0,20489;0,15848;0,07826;0,0838
2310,328;0,69583;0,60391;0,28157;0,20457;0,15854;0,07895;0,08381
2310,637;0,69559;0,60347;0,28038;0,20392;0,15868;0,0804;0,08383
2311,717;0,69478;0,60079;0,2756;0,20175;0,15924;0,08636;0,08436
2312,299;0,69439;0,59932;0,27266;0,20069;0,15959;0,09012;0,08519
2313,427;0,69377;0,59654;0,26639;0,1991;0,16036;0,09845;0,08751
2314,499;0,6934;0,59394;0,25995;0,19835;0,16118;0,10758;0,08997
2315,267;0,6933;0,59292;0,25528;0,19841;0,16181;0,11478;0,09185
2315,314;0,6933;0,59286;0,255;0,19843;0,16185;0,11523;0,09197
2315,507;0,6933;0,59265;0,25386;0,19854;0,16201;0,11713;0,09247
2317,161;0,69375;0,59167;0,24622;0,20072;0,1635;0,13455;0,09708
