x;GC790B;GC859C;GC727H;GC874C-1;GC874C-2;GC756B;GC801B
2401,9;1,02021;0,77336;0,5096;0,68874;0,59047;0,60799;0,32422
2402,287;1,01915;0,76965;0,50118;0,68773;0,59228;0,60147;0,32098
2402,619;1,01824;0,76652;0,49427;0,6869;0,59379;0,59579;0,31821
2403,284;1,01641;0,76042;0,48181;0,68533;0,59665;0,5844;0,31275
2404,482;1,01308;0,75006;0,46392;0,68265;0,60109;0,5645;0,30311
2405,276;1,01084;0,74356;0,45453;0,68089;0,60332;0,55202;0,29684
2405,36;1,0106;0,74288;0,45361;0,6807;0,60352;0,55071;0,29618
2405,589;1,00994;0,74106;0,45121;0,68017;0,604;0,54717;0,29439
2406,048;1,00862;0,73745;0,44664;0,6791;0,60478;0,54011;0,29082
2406,269;1,00797;0,73574;0,44455;0,67857;0,60506;0,53672;0,28911
2407,224;1,00518;0,72849;0,43606;0,67612;0,60562;0,522;0,28177
2407,653;1,00393;0,72531;0,43249;0,67495;0,60553;0,5153;0,27849
2409,692;0,99815;0,71059;0,41692;0,66852;0,6023;0,48319;0,26301
2409,73;0,99805;0,71032;0,41665;0,66839;0,6022;0,48261;0,26273
2410,637;0,99565;0,70389;0,41033;0,66497;0,59939;0,46873;0,25585
2411,531;0,99343;0,69752;0,4045;0,66117;0,59594;0,45499;0,24904
2411,578;0,99332;0,69718;0,40421;0,66096;0,59574;0,45426;0,24869
2412,039;0,99223;0,69387;0,40138;0,65878;0,59371;0,44703;0,24517
2412,292;0,99165;0,69205;0,39987;0,65752;0,59254;0,44299;0,24325
2412,434;0,99133;0,69102;0,39904;0,65679;0,59186;0,44068;0,24216
2414,639;0,98663;0,6749;0,38708;0,64335;0,57977;0,40273;0,2255
2414,905;0,9861;0,67297;0,38574;0,64146;0,57813;0,39817;0,22351
2415,277;0,98535;0,67029;0,38387;0,6387;0,5758;0,39186;0,22074
2416,678;0,98262;0,6605;0,37701;0,62736;0,5666;0,36877;0,21045
2416,712;0,98255;0,66027;0,37685;0,62707;0,56637;0,36821;0,2102
2416,932;0,98213;0,65879;0,37579;0,62516;0,56489;0,3647;0,2086
2417,837;0,98039;0,65284;0,37148;0,61694;0,55866;0,35049;0,20209
2418,471;0,97915;0,64878;0,36848;0,61082;0,5541;0,34088;0,19759
2419,916;0,97591;0,63967;0,3617;0,59549;0,54262;0,32008;0,18748
2420,505;0,97415;0,63597;0,35895;0,58856;0,53722;0,31193;0,18343
2420,881;0,97284;0,63358;0,3572;0,58386;0,53342;0,30676;0,18086
2421,081;0,97209;0,63231;0,35626;0,58128;0,53126;0,30401;0,1795
2421,484;0,9705;0,62971;0,35438;0,57591;0,52652;0,29838;0,17675
2421,842;0,96903;0,62737;0,35271;0,57103;0,52187;0,29315;0,17433
2421,998;0,96836;0,62634;0,35198;0,56886;0,5197;0,29073;0,17328
2422,856;0,96458;0,62061;0,34795;0,55688;0,50621;0,2762;0,1675
2423,518;0,96153;0,6162;0,34484;0,5479;0,49438;0,26537;0,16305
2423,823;0,96009;0,6142;0,34341;0,54391;0,48875;0,26059;0,16099
2423,828;0,96007;0,61417;0,34339;0,54385;0,48866;0,26051;0,16096
2424,555;0,95655;0,60958;0,33999;0,53459;0,4755;0,24966;0,15606
2425,597;0,95102;0,60354;0,3352;0,52102;0,45753;0,23554;0,14904
2426,293;0,94651;0,59996;0,33208;0,51101;0,44625;0,22708;0,14439
2426,397;0,94571;0,59945;0,33163;0,50938;0,44461;0,22586;0,1437
2426,53;0,9446;0,59882;0,33105;0,50724;0,44253;0,22433;0,14282
2426,751;0,94254;0,59781;0,3301;0,5035;0,43913;0,22181;0,14138
2427,72;0,93171;0,59377;0,32611;0,48441;0,42439;0,21104;0,13515
2428,195;0,92681;0,59198;0,32431;0,47411;0,41712;0,2058;0,1322
2428,73;0,9217;0,5901;0,32243;0,46289;0,40871;0,1998;0,12895
2429,035;0,91889;0,58908;0,32142;0,45693;0,40374;0,19628;0,12715
2429,154;0,91781;0,58869;0,32105;0,45471;0,40177;0,19489;0,12645
2429,465;0,915;0,58768;0,32008;0,44904;0,39646;0,19114;0,12465
2431,2;0,89961;0,58251;0,31513;0,42038;0,36497;0,16919;0,11515
2431,507;0,89689;0,58165;0,31429;0,41555;0,35939;0,16534;0,11355
2432,293;0,88985;0,57946;0,31217;0,40326;0,34543;0,15588;0,10952
2432,438;0,88853;0,57907;0,31178;0,40101;0,34292;0,15423;0,1088
2433,014;0,88326;0,57749;0,31024;0,39212;0,33305;0,14791;0,10594
2433,942;0,87467;0,57493;0,30774;0,37787;0,31745;0,13846;0,10146
2433,977;0,87435;0,57483;0,30765;0,37735;0,31688;0,13812;0,1013
2433,982;0,87431;0,57482;0,30764;0,37727;0,31679;0,13807;0,10128
2434,917;0,86573;0,57224;0,30512;0,36316;0,30167;0,12924;0,09693
2436,264;0,85395;0,56857;0,3015;0,34419;0,28321;0,11727;0,09102
2436,391;0,85289;0,56823;0,30116;0,34252;0,28172;0,11617;0,09049
2436,717;0,85021;0,56736;0,30028;0,33834;0,27807;0,11338;0,08914
2436,956;0,84828;0,56672;0,29964;0,33537;0,27554;0,11136;0,08817
2438,222;0,83833;0,56345;0,29626;0,32073;0,26367;0,10112;0,08329
2439,275;0,83008;0,56086;0,29348;0,30942;0,25492;0,09325;0,07958
2440,512;0,81993;0,55803;0,29024;0,29656;0,24527;0,08473;0,0762
2440,76;0,81778;0,5575;0,28959;0,29398;0,24337;0,0831;0,07561
2440,814;0,8173;0,55738;0,28945;0,29342;0,24296;0,08275;0,07548
2440,905;0,8165;0,55719;0,28922;0,29248;0,24226;0,08216;0,07527
2441,287;0,81305;0,5564;0,28823;0,28853;0,23936;0,07972;0,07441
2443,791;0,78969;0,55198;0,28192;0,26514;0,22095;0,06503;0,06923
2444,858;0,78082;0,55054;0,27934;0,25679;0,21361;0,05946;0,06712
2445,453;0,77641;0,54987;0,27794;0,25239;0,2097;0,05655;0,06594
2445,532;0,77585;0,54978;0,27775;0,25181;0,20919;0,05617;0,06578
2447,047;0,7661;0,54845;0,27439;0,24117;0,19993;0,04957;0,06277
2447,72;0,7622;0,54799;0,27302;0,23661;0,19615;0,04705;0,06141
2447,848;0,76148;0,54791;0,27277;0,23575;0,19545;0,04661;0,06114
2448,43;0,75828;0,54758;0,27168;0,23188;0,19237;0,04472;0,05994
2449,767;0,75125;0,54696;0,26956;0,22328;0,18584;0,04123;0,05714
2450,633;0,74685;0,54664;0,26854;0,2181;0,18198;0,03956;0,0554
2452,33;0,73852;0,5461;0,26747;0,20936;0,17516;0,03733;0,05248
2453,289;0,734;0,5458;0,26714;0,20535;0,17171;0,03649;0,05122
2453,575;0,73268;0,54571;0,26701;0,20429;0,17074;0,03627;0,0509
2453,61;0,73252;0,5457;0,26699;0,20416;0,17062;0,03624;0,05086
2453,977;0,73085;0,54558;0,26677;0,2029;0,16942;0,03597;0,05049
2455,218;0,72538;0,54521;0,26578;0,19923;0,1657;0,03509;0,04945
2456,896;0,71848;0,54473;0,2641;0,19548;0,16166;0,034;0,04841
2458,854;0,71147;0,54426;0,26212;0,1925;0,15874;0,03291;0,0475
2459,557;0,7093;0,54412;0,26147;0,19174;0,15811;0,03258;0,04722
2459,951;0,70817;0,54405;0,26113;0,19139;0,15783;0,0324;0,04707
2460,141;0,70766;0,54402;0,26098;0,19124;0,15771;0,03232;0,047
2460,231;0,70742;0,544;0,26091;0,19117;0,15765;0,03228;0,04696
2461,209;0,70506;0,54388;0,26018;0,19058;0,15713;0,03191;0,0466
2463,422;0,70131;0,54384;0,25888;0,18998;0,15612;0,03125;0,04588
2465,649;0,69908;0,54427;0,25794;0,18969;0,15494;0,03071;0,04537
2466,083;0,69876;0,54442;0,25778;0,18959;0,15469;0,03061;0,0453
2466,665;0,69835;0,54465;0,25759;0,1894;0,15436;0,03047;0,04524
2466,747;0,6983;0,54469;0,25757;0,18937;0,15431;0,03045;0,04523
2466,755;0,69829;0,54469;0,25756;0,18936;0,1543;0,03045;0,04523
2467,736;0,69768;0,54518;0,25727;0,18887;0,15372;0,03019;0,04518
2472,442;0,69503;0,54797;0,25599;0,18467;0,15088;0,02879;0,04529
2472,607;0,69494;0,54807;0,25595;0,18449;0,15079;0,02874;0,04528
2472,939;0,69477;0,54824;0,25585;0,18414;0,15059;0,02863;0,04527
2473,008;0,69474;0,54828;0,25582;0,18406;0,15055;0,02861;0,04526
2473,191;0,69465;0,54837;0,25577;0,18386;0,15045;0,02855;0,04525
2473,27;0,69461;0,54841;0,25574;0,18378;0,1504;0,02852;0,04524
2474,533;0,69399;0,54899;0,25534;0,18243;0,14972;0,02811;0,04507
2478,988;0,69234;0,54985;0,25417;0,17866;0,14868;0,02677;0,04373
2479,236;0,69229;0,54983;0,25413;0,17854;0,14871;0,02671;0,04363
2479,403;0,69226;0,54981;0,25411;0,17846;0,14874;0,02666;0,04356
2479,463;0,69225;0,54981;0,2541;0,17843;0,14876;0,02665;0,04354
2479,718;0,69222;0,54977;0,25407;0,17833;0,14881;0,02659;0,04343
2479,794;0,69221;0,54976;0,25406;0,1783;0,14883;0,02657;0,0434
2481,058;0,69215;0,54945;0,25399;0,17799;0,14922;0,02634;0,04288
2485,511;0,69342;0,54804;0,25411;0,17827;0,15058;0,02678;0,04157
2485,76;0,69352;0,548;0,25411;0,1783;0,1506;0,02689;0,04155
2486,198;0,6937;0,54793;0,25412;0,17834;0,15061;0,0271;0,04155
2486,241;0,69371;0,54793;0,25412;0,17834;0,15061;0,02712;0,04155
2486,257;0,69372;0,54793;0,25412;0,17834;0,15061;0,02713;0,04155
2486,59;0,69385;0,5479;0,25412;0,17836;0,1506;0,02731;0,04157
2487,036;0,69401;0,54787;0,25411;0,17837;0,15054;0,02757;0,04162
2492,304;0,69559;0,54802;0,25411;0,17831;0,14885;0,03048;0,04329
2492,45;0,69565;0,54801;0,25413;0,17832;0,14882;0,03052;0,04332
2492,555;0,69569;0,54801;0,25414;0,17833;0,14881;0,03054;0,04334
2492,764;0,69577;0,54799;0,25417;0,17835;0,14878;0,03057;0,04338
2492,781;0,69577;0,54799;0,25417;0,17835;0,14878;0,03057;0,04338
2493,015;0,69587;0,54796;0,25421;0,17838;0,14875;0,0306;0,04341
2493,112;0,69591;0,54795;0,25423;0,17839;0,14875;0,03061;0,04342
2498,829;0,69912;0,54627;0,25584;0,17995;0,15029;0,02865;0,04196
2499,079;0,69928;0,54617;0,25593;0,18004;0,15041;0,02851;0,04185
2499,243;0,69939;0,5461;0,25599;0,18009;0,15048;0,02842;0,04177
2499,536;0,69958;0,54599;0,25609;0,1802;0,15062;0,02826;0,04163
2499,558;0,69959;0,54598;0,25609;0,18021;0,15063;0,02825;0,04162
2499,575;0,6996;0,54597;0,2561;0,18021;0,15063;0,02824;0,04161
2499,637;0,69964;0,54595;0,25612;0,18024;0,15066;0,0282;0,04159
