# Absorption coefficients
# CDSD 296K. Molecule CO2. Isotopologue(s): 626,636,628.
# Wavenumber range: 600-3000 cm-1, T: 296 K, P: 5 atm, step: 0.05007 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  604.945740    5.9686171896E-01    4.8146204269E-21
  604.995810    5.9803162432E-01    4.8240575378E-21
  605.045880    5.9920493167E-01    4.8335220910E-21
  605.095950    6.0038170868E-01    4.8430146326E-21
  605.146020    6.0156203036E-01    4.8525357674E-21
  605.196090    6.0274597361E-01    4.8620861157E-21
  605.246160    6.0393361847E-01    4.8716663233E-21
  605.296230    6.0512504755E-01    4.8812770567E-21
  605.346300    6.0632035245E-01    4.8909190544E-21
  605.396370    6.0751960673E-01    4.9005929102E-21
  605.446440    6.0872290586E-01    4.9102993939E-21
  605.496510    6.0993033949E-01    4.9200392288E-21
  605.546580    6.1114205265E-01    4.9298135849E-21
  605.596650    6.1235803044E-01    4.9396223418E-21
  605.646720    6.1357841958E-01    4.9494666831E-21
  605.696790    6.1480332046E-01    4.9593474186E-21
  605.746860    6.1603281474E-01    4.9692652071E-21
  605.796930    6.1726700424E-01    4.9792208698E-21
  605.847000    6.1850598551E-01    4.9892151857E-21
  605.897070    6.1974985446E-01    4.9992489283E-21
  605.947140    6.2099870888E-01    5.0093228865E-21
  605.997210    6.2225264718E-01    5.0194378540E-21
  606.047280    6.2351176893E-01    5.0295946343E-21
  606.097350    6.2477617482E-01    5.0397940393E-21
  606.147420    6.2604596677E-01    5.0500368913E-21
  606.197490    6.2732132071E-01    5.0603246095E-21
  606.247560    6.2860219577E-01    5.0706568641E-21
  606.297630    6.2988877093E-01    5.0810350988E-21
  606.347700    6.3118115402E-01    5.0914601836E-21
  606.397770    6.3247945402E-01    5.1019329975E-21
  606.447840    6.3378378227E-01    5.1124544386E-21
  606.497910    6.3509425146E-01    5.1230254160E-21
  606.547980    6.3641097609E-01    5.1336468533E-21
  606.598050    6.3773407194E-01    5.1443196843E-21
  606.648120    6.3906365670E-01    5.1550448586E-21
  606.698190    6.4039984939E-01    5.1658233361E-21
  606.748260    6.4174277061E-01    5.1766560898E-21
  606.798330    6.4309254229E-01    5.1875441030E-21
  606.848400    6.4444930819E-01    5.1984885355E-21
  606.898470    6.4581315231E-01    5.2094900650E-21
  606.948540    6.4718422114E-01    5.2205498729E-21
  606.998610    6.4856264761E-01    5.2316690317E-21
  607.048680    6.4994854998E-01    5.2428484953E-21
  607.098750    6.5134216952E-01    5.2540902099E-21
  607.148820    6.5274342735E-01    5.2653935392E-21
  607.198890    6.5415256323E-01    5.2767604173E-21
  607.248960    6.5556975385E-01    5.2881922694E-21
  607.299030    6.5699505627E-01    5.2996895559E-21
  607.349100    6.5842868453E-01    5.3112540032E-21
  607.399170    6.5987071771E-01    5.3228862493E-21
  607.449240    6.6132133509E-01    5.3345877403E-21
  607.499310    6.6278071253E-01    5.3463598950E-21
  607.549380    6.6424898866E-01    5.3582038313E-21
  607.599450    6.6572627699E-01    5.3701204652E-21
  607.649520    6.6721279510E-01    5.3821115517E-21
  607.699590    6.6870867149E-01    5.3941781272E-21
  607.749660    6.7021409842E-01    5.4063217428E-21
  607.799730    6.7172926891E-01    5.4185439553E-21
  607.849800    6.7325433652E-01    5.4308460036E-21
  607.899870    6.7478950560E-01    5.4432295359E-21
  607.949940    6.7633497144E-01    5.4556961277E-21
  608.000010    6.7789093530E-01    5.4682474024E-21
  608.050080    6.7945760457E-01    5.4808850329E-21
  608.100150    6.8103519284E-01    5.4936107421E-21
  608.150220    6.8262391980E-01    5.5064263023E-21
  608.200290    6.8422401134E-01    5.5193335356E-21
  608.250360    6.8583569945E-01    5.5323343132E-21
  608.300430    6.8745922349E-01    5.5454305661E-21
  608.350500    6.8909487059E-01    5.5586246104E-21
  608.400570    6.9074280046E-01    5.5719177343E-21
  608.450640    6.9240331440E-01    5.5853123684E-21
  608.500710    6.9407667387E-01    5.5988106218E-21
  608.550780    6.9576314620E-01    5.6124146508E-21
  608.600850    6.9746300358E-01    5.6261266511E-21
  608.650920    6.9917652460E-01    5.6399488699E-21
  608.700990    7.0090399360E-01    5.6538836010E-21
  608.751060    7.0264569957E-01    5.6679331753E-21
  608.801130    7.0440193826E-01    5.6820999788E-21
  608.851200    7.0617301102E-01    5.6963864422E-21
  608.901270    7.0795922513E-01    5.7107950442E-21
  608.951340    7.0976089510E-01    5.7253283218E-21
  609.001410    7.1157833902E-01    5.7399888408E-21
  609.051480    7.1341188448E-01    5.7547792440E-21
  609.101550    7.1526186490E-01    5.7697022206E-21
  609.151620    7.1712862087E-01    5.7847605184E-21
  609.201690    7.1901250055E-01    5.7999569454E-21
  609.251760    7.2091385961E-01    5.8152943710E-21
  609.301830    7.2283311356E-01    5.8307761466E-21
  609.351900    7.2477053549E-01    5.8464044755E-21
  609.401970    7.2672654817E-01    5.8621827677E-21
  609.452040    7.2870154550E-01    5.8781142007E-21
  609.502110    7.3069598539E-01    5.8942024682E-21
  609.552180    7.3271015420E-01    5.9104498803E-21
  609.602250    7.3474452864E-01    5.9268602823E-21
  609.652320    7.3679953366E-01    5.9434371021E-21
  609.702390    7.3887560508E-01    5.9601838552E-21
  609.752460    7.4097318569E-01    5.9771041135E-21
  609.802530    7.4309272987E-01    5.9942015422E-21
  609.852600    7.4523470082E-01    6.0114798779E-21
  609.902670    7.4739957134E-01    6.0289429342E-21
  609.952740    7.4958782370E-01    6.0465946015E-21
  610.002810    7.5179994945E-01    6.0644388450E-21
  610.052880    7.5403644968E-01    6.0824797066E-21
  610.102950    7.5629783496E-01    6.1007213050E-21
  610.153020    7.5858462527E-01    6.1191678345E-21
  610.203090    7.6089734990E-01    6.1378235649E-21
  610.253160    7.6323660294E-01    6.1566932881E-21
  610.303230    7.6560282160E-01    6.1757805312E-21
  610.353300    7.6799661926E-01    6.1950902418E-21
  610.403370    7.7041856188E-01    6.2146269855E-21
  610.453440    7.7286922707E-01    6.2343954215E-21
  610.503510    7.7534921205E-01    6.2544003673E-21
  610.553580    7.7785909050E-01    6.2746464506E-21
  610.603650    7.8039947992E-01    6.2951386524E-21
  610.653720    7.8297099665E-01    6.3158819445E-21
  610.703790    7.8557427584E-01    6.3368814503E-21
  610.753860    7.8820993714E-01    6.3581421684E-21
  610.803930    7.9087864042E-01    6.3796694216E-21
  610.854000    7.9358105028E-01    6.4014685708E-21
  610.904070    7.9631781334E-01    6.4235448323E-21
  610.954140    7.9908962300E-01    6.4459037992E-21
  611.004210    8.0189717257E-01    6.4685510641E-21
  611.054280    8.0474116291E-01    6.4914922808E-21
  611.104350    8.0762230965E-01    6.5147332216E-21
  611.154420    8.1054133941E-01    6.5382797482E-21
  611.204490    8.1349904791E-01    6.5621382791E-21
  611.254560    8.1649616176E-01    6.5863146755E-21
  611.304630    8.1953331568E-01    6.6108140576E-21
  611.354700    8.2261137501E-01    6.6356434056E-21
  611.404770    8.2573112466E-01    6.6608090511E-21
  611.454840    8.2889336194E-01    6.6863174255E-21
  611.504910    8.3209889329E-01    6.7121750341E-21
  611.554980    8.3534853819E-01    6.7383884873E-21
  611.605050    8.3864312745E-01    6.7649644868E-21
  611.655120    8.4198350259E-01    6.7919098208E-21
  611.705190    8.4537051566E-01    6.8192313625E-21
  611.755260    8.4880502955E-01    6.8469360722E-21
  611.805330    8.5228791785E-01    6.8750309972E-21
  611.855400    8.5582006274E-01    6.9035232532E-21
  611.905470    8.5940243046E-01    6.9324206347E-21
  611.955540    8.6303577757E-01    6.9617292445E-21
  612.005610    8.6672108830E-01    6.9914570219E-21
  612.055680    8.7045928250E-01    7.0216113869E-21
  612.105750    8.7425128846E-01    7.0521998278E-21
  612.155820    8.7809804221E-01    7.0832298948E-21
  612.205890    8.8200048708E-01    7.1147091976E-21
  612.255960    8.8595957333E-01    7.1466454015E-21
  612.306030    8.8997626519E-01    7.1790462845E-21
  612.356100    8.9405150832E-01    7.2119194746E-21
  612.406170    8.9818627725E-01    7.2452728333E-21
  612.456240    9.0238154306E-01    7.2791141935E-21
  612.506310    9.0663828226E-01    7.3134514325E-21
  612.556380    9.1095746677E-01    7.3482923903E-21
  612.606450    9.1534007640E-01    7.3836449706E-21
  612.656520    9.1978708959E-01    7.4195170661E-21
  612.706590    9.2429948378E-01    7.4559165612E-21
  612.756660    9.2887823428E-01    7.4928513235E-21
  612.806730    9.3352431292E-01    7.5303291922E-21
  612.856800    9.3823868694E-01    7.5683579695E-21
  612.906870    9.4302231702E-01    7.6069454051E-21
  612.956940    9.4787615402E-01    7.6460991689E-21
  613.007010    9.5280114104E-01    7.6858268686E-21
  613.057080    9.5779820825E-01    7.7261360074E-21
  613.107150    9.6286827157E-01    7.7670339736E-21
  613.157220    9.6801223079E-01    7.8085280254E-21
  613.207290    9.7323096698E-01    7.8506252702E-21
  613.257360    9.7852534063E-01    7.8933326490E-21
  613.307430    9.8389618732E-01    7.9366569021E-21
  613.357500    9.8934432552E-01    7.9806046318E-21
  613.407570    9.9487051671E-01    8.0251819805E-21
  613.457640    1.0004755174E+00    8.0703950503E-21
  613.507710    1.0061600397E+00    8.1162495866E-21
  613.557780    1.0119247574E+00    8.1627510237E-21
