3106.6885499261, 3107.2507511552, 3107.3853922518, 3107.2768099744, 3107.2464177364, 3107.253041529, 3107.2990243047, 3107.3257943401, 3107.3056134723, 3107.2056276099, 3107.2132589957, 3107.2796881891, 3107.2643090405, 3107.0947603215, 3107.4895590638, 3107.396773846
3107.2366863417, 3107.1428655088, 3107.2958983924, 3107.3683397918, 3107.3340152212, 3107.2927069638, 3107.3196378534, 3107.2503531651, 3107.2473616753, 3107.2393948647, 3107.3381933552, 3107.2494666989, 3107.3191299436, 3107.3047550117, 3107.1871724541, 3107.4955537387
3107.4479491243, 3107.3019057562, 3107.3144719241, 3107.3285805171, 3107.3007732196, 3107.3334559192, 3107.221313602, 3107.3111377883, 3107.2736803807, 3107.3351620853, 3107.2977327298, 3107.3208087035, 3107.2975194747, 3107.2850331955, 3107.3678992923, 3107.3593982998
3107.2120570014, 3107.3413150612, 3107.3729334777, 3107.2763097657, 3107.3392164946, 3107.2897909427, 3107.2814246545, 3107.2757051563, 3107.3435744427, 3107.3316370587, 3107.3333551865, 3107.4463908501, 3107.4054225357, 3107.4734653712, 3107.5011233377, 3107.5380318099
3107.3259689981, 3107.2879818034, 3107.3222406118, 3107.2131220559, 3107.3094810198, 3107.2890600278, 3107.3141004068, 3107.3157601046, 3107.3127882911, 3107.3516102082, 3107.436938925, 3107.3616673454, 3107.427115116, 3107.4388165884, 3107.4000681794, 3107.5544389983
3107.2622162061, 3107.3248023106, 3107.2213115428, 3107.2808166032, 3107.2557690897, 3107.2340232393, 3107.2884571209, 3107.3147717721, 3107.3189124974, 3107.3344000738, 3107.3632692904, 3107.4002840669, 3107.4377376859, 3107.3799910724, 3107.4760030762, 3107.5232040138
3107.2985126397, 3107.2714427586, 3107.252050056, 3107.1651834345, 3107.2698151324, 3107.2634103853, 3107.2572881044, 3107.3558876896, 3107.3768823693, 3107.3354549809, 3107.3558777452, 3107.414005263, 3107.4027164888, 3107.4556939365, 3107.391690876, 3107.3966298234
3107.3356423571, 3107.236761075, 3107.2142415886, 3107.1372390681, 3107.1902949066, 3107.1314479862, 3107.2247716377, 3107.2750191915, 3107.2547881265, 3107.2435814049, 3107.2991400687, 3107.3597506821, 3107.4235107529, 3107.312017105, 3107.2436765854, 3107.2905736995
3107.3790993445, 3107.3340041925, 3107.3307160965, 3107.2360993415, 3107.2431710204, 3107.2169426732, 3107.2310996156, 3107.2951459632, 3107.2412144622, 3107.3511965251, 3107.3183469568, 3107.3401341517, 3107.2860974204, 3107.2494659517, 3107.191345441, 3107.1536165671
3107.3809517235, 3107.2956363246, 3107.2516476296, 3107.2606054935, 3107.1394704163, 3107.2339361977, 3107.1688692604, 3107.2008306936, 3107.3442141653, 3107.3381890186, 3107.283941324, 3107.2567862883, 3107.1819190604, 3107.2238279102, 3107.1465164036, 3107.1281297774
3107.3619950718, 3107.3907946201, 3107.3063106636, 3107.2672091576, 3107.165515724, 3107.1608353967, 3107.2490481521, 3107.2377197567, 3107.235504508, 3107.2281495937, 3107.1916193025, 3107.1209402381, 3107.1602718161, 3107.0831746771, 3107.0690234613, 3107.1095319013
3107.4334533319, 3107.397471304, 3107.3571132377, 3107.2372119816, 3107.1813589646, 3107.1065306041, 3107.1891476175, 3107.2002465181, 3107.1753211608, 3107.1439072522, 3107.1422772062, 3107.1040595059, 3107.0928257968, 3107.0266669653, 3107.0170110301, 3107.0346390294
3107.4273150569, 3107.4078391377, 3107.3164013058, 3107.3455044092, 3107.331666348, 3107.2362793383, 3107.1812400576, 3107.1791829698, 3107.2046708175, 3107.2165604056, 3107.1308929945, 3107.1051964459, 3107.1036693174, 3107.0864210914, 3107.0988316357, 3107.0861528462
3107.3789766445, 3107.4248642739, 3107.4210747545, 3107.2364963888, 3107.224348325, 3107.1257584628, 3107.1503093206, 3107.1188284198, 3107.1358249057, 3107.1170153734, 3107.1094023218, 3107.0670373384, 3107.094237367, 3107.0836078722, 3107.1046289036, 3107.003515138
3107.377372912, 3107.293430872, 3107.3035415317, 3107.2178713761, 3107.1582162489, 3107.1288096214, 3107.0915786799, 3107.0617913911, 3107.0626036262, 3107.0671806966, 3107.0468915766, 3107.0378761541, 3107.0219078238, 3107.0385212016, 3107.0434142625, 3107.0485422165
3107.3210511765, 3107.2996089105, 3107.2537874964, 3107.1967574909, 3107.1141522999, 3107.0660268482, 3107.0465883406, 3107.0146812209, 3107.048970667, 3107.0248009993, 3107.0323817772, 3107.0388316715, 3107.0298026404, 3107.0512560036, 3107.0363174791, 3107.0736651625
3107.3315945247, 3107.2612637692, 3107.192760567, 3107.0677056623, 3107.0112270897, 3107.0237979469, 3106.9877700554, 3107.0242172133, 3107.0088352514, 3107.0101690835, 3107.0032981141, 3107.0115918521, 3107.000032885, 3107.0288071599, 3107.040763093, 3106.9870802205
3107.205750502, 3107.2128767631, 3107.1998361334, 3107.110665862, 3107.0517485135, 3106.9940181054, 3106.9642117438, 3106.9912429219, 3106.9934540617, 3107.0356649361, 3107.0142555955, 3107.010561102, 3107.0042660909, 3106.9844954226, 3107.0452480207, 3107.0163454757
3107.1597220223, 3107.1605482868, 3107.0918775801, 3107.0662492452, 3107.0383299527, 3107.005794567, 3107.0093096449, 3107.0261055968, 3107.0291887946, 3107.027430297, 3107.0005385294, 3106.9994794612, 3107.0201760588, 3107.0721276207, 3106.994715092, 3107.1068166477
