3107.7649054701, 3107.4239709097, 3107.8930462707, 3107.8456010281, 3107.8228480185, 3108.6076458761, 3108.0741265079, 3107.0058169984, 3107.3701972919, 3107.5456013381, 3107.5891602335, 3108.0544360357, 3107.4841190154, 3107.4100695709, 3082.7097187908
3107.7551441228, 3107.6773670125, 3108.2267201989, 3107.5510741791, 3107.4029410655, 3107.4594448543, 3107.6621085411, 3107.6412424535, 3107.6099800069, 3107.854951872, 3107.5844971876, 3107.9033402396, 3107.3950695269, 3109.1769343939, 3107.5196017167
3107.4963684207, 3107.5180917379, 3107.5906286345, 3107.6134908962, 3107.8036020589, 3107.7122614417, 3107.5825724508, 3107.6051599593, 3107.6617634593, 3107.7246136302, 3107.9087043949, 3107.8629042362, 3107.2591450448, 3107.7309157702, 3108.6397859907
3107.3548936098, 3107.5363851767, 3107.5993271854, 3107.746017482, 3107.7082005429, 3107.6726356182, 3107.7530364464, 3107.7296038438, 3107.65142907, 3107.703583964, 3107.8057555535, 3107.7975614217, 3107.6694189961, 3107.7537906588, 3107.9712096202
3107.3793107612, 3107.577580385, 3107.7128416418, 3107.6636894768, 3107.701715647, 3107.7180848829, 3107.6580323762, 3107.6535728144, 3107.5756735781, 3107.6834910667, 3107.6364776257, 3107.6875014512, 3107.8255178572, 3107.5363865393, 3107.7368669937
3107.3356038466, 3107.5174863548, 3107.6487091079, 3107.6348643144, 3107.6253825846, 3107.5362694124, 3107.5858362449, 3107.5362494972, 3107.4394644016, 3107.5356337926, 3107.6336559849, 3107.7388048756, 3107.7353286509, 3107.6614224765, 3107.4935902392
3107.3634434874, 3107.4682643128, 3107.5140448347, 3107.5898339864, 3107.5463316844, 3107.5766226082, 3107.5828848709, 3107.4989955151, 3107.5232186869, 3107.5291504574, 3107.5400233393, 3107.8187664788, 3107.7518634387, 3107.8394679174, 3107.7551137149
3107.5804259139, 3107.5353560229, 3107.5879871877, 3107.5992950583, 3107.5702372811, 3107.5806409932, 3107.5571965414, 3107.5731244781, 3107.6596283896, 3107.6974897628, 3107.7299197858, 3107.7985342453, 3107.8809894487, 3107.8977709037, 3107.8998627177
3107.6905756598, 3107.6419502242, 3107.6157258879, 3107.7279231204, 3107.6715457265, 3107.7978967989, 3107.7316358334, 3107.7544795206, 3107.7841977063, 3107.7867930782, 3107.7136418946, 3107.7682868284, 3107.7284534952, 3107.7801074153, 3107.5310656727
3107.8611538066, 3107.8381186042, 3107.8557320006, 3107.8285696809, 3107.7927537786, 3107.7210686052, 3107.7140408529, 3107.6177356165, 3107.6144344721, 3107.5949738519, 3107.4802027623, 3107.4794121847, 3107.5494734792, 3107.3889197533, 3107.439616843
3107.7675432364, 3107.7497625839, 3107.7065255322, 3107.6670688964, 3107.5631326273, 3107.5420256887, 3107.4150069011, 3107.379613686, 3107.3860732808, 3107.3500452244, 3107.3191908268, 3107.287991782, 3107.3483546511, 3107.281636516, 3107.3222811583
3107.4374005545, 3107.4736622285, 3107.4753063104, 3107.4459868755, 3107.3734819194, 3107.3426475852, 3107.257026805, 3107.2468852974, 3107.2463024507, 3107.2130003812, 3107.1599372325, 3107.1800931481, 3107.1529699177, 3107.2507010478, 3107.1873467021
3107.2490596606, 3107.3119275342, 3107.3274356407, 3107.3052288755, 3107.2587696516, 3107.1650479842, 3107.1185641334, 3107.1321836199, 3107.127507178, 3107.1572721758, 3107.1452271372, 3107.1068558043, 3107.1209034796, 3107.1649510228, 3107.1145687873
3107.1465828327, 3107.2451866893, 3107.2282973747, 3107.1743073475, 3107.138387016, 3107.1197027427, 3107.0848952161, 3107.0793660833, 3107.0260046378, 3107.0785348532, 3107.0513178572, 3107.0449688475, 3107.1049329505, 3107.0547506368, 3107.0462958294
3107.1277339602, 3107.1369550572, 3107.1676716385, 3107.1364669597, 3107.1316623511, 3107.0912133931, 3107.053106008, 3106.952636877, 3106.9957911777, 3107.1160394795, 3107.0184938138, 3107.1246573187, 3107.0780942124, 3107.035088874, 3107.0332802567
3107.0303431917, 3106.9788122382, 3107.0910326678, 3107.0905156137, 3107.0726785122, 3107.0224619896, 3106.9363138177, 3106.9484388589, 3106.9826267237, 3107.026475935, 3106.9881674606, 3107.0239531991, 3107.0448185715, 3106.9339884247, 3106.9146777749
3107.2027982522, 3106.8857701658, 3106.9960979875, 3107.0597069008, 3107.0393476257, 3106.9100831341, 3106.8587235833, 3106.8689184457, 3106.9155237687, 3106.9494245248, 3106.970617494, 3106.9632424148, 3107.0659281857, 3107.080532519, 3107.0226823157
3106.7498374482, 3107.024448556, 3106.8421246568, 3106.9181629829, 3106.9099760589, 3106.8097840219, 3106.7738937089, 3106.8152766265, 3106.9154949256, 3106.9367188789, 3107.0247845582, 3107.076697993, 3107.1419606149, 3107.1656831938, 3107.1355294341
