,wavenumber,experimental,"CO2 ν2a, phase I"
162,755.991,0.960933,0.0
163,756.955,1.10924,0.0
164,757.919,1.13994,0.0
165,758.884,1.00439,0.0
166,759.848,0.944523,0.0
167,760.812,1.10347,0.0
168,761.777,1.18556,0.0
169,762.741,1.03514,0.0
170,763.705,0.951853,0.0
171,764.669,1.09761,0.0
172,765.634,1.21344,0.0
173,766.598,1.06669,0.0
174,767.562,0.960034,0.0
175,768.526,1.08546,0.0
176,769.491,1.21986,0.0
177,770.455,1.08132,0.0
178,771.419,0.953835,0.0
179,772.384,1.05585,0.0
180,773.348,1.23377,0.0
181,774.312,1.12637,0.0
182,775.276,0.973364,0.0
183,776.241,1.03801,0.0
184,777.205,1.22294,0.0
185,778.169,1.14634,0.0
186,779.133,0.990594,0.0
187,780.098,1.02511,0.0
188,781.062,1.21949,0.0
189,782.026,1.17325,0.0
190,782.99,1.01531,0.0
191,783.955,1.02098,0.0
192,784.919,1.20772,0.0
193,785.883,1.20931,0.0
194,786.848,1.0471,0.0
195,787.812,1.02613,0.0
196,788.776,1.20807,0.0
197,789.74,1.24554,0.0
198,790.705,1.10317,0.0
199,791.669,1.05901,0.0
200,792.633,1.23399,0.0
201,793.597,1.30692,0.0
202,794.562,1.19546,0.0
203,795.526,1.13866,0.0
204,796.49,1.27926,0.0
205,797.455,1.38718,0.0
206,798.419,1.2768,0.0
207,799.383,1.20148,0.0
208,800.347,1.31008,0.0
209,801.312,1.42124,0.0
210,802.276,1.32739,0.0
211,803.24,1.23735,0.0
212,804.205,1.29757,0.0
213,805.169,1.40158,0.0
214,806.133,1.33885,0.0
215,807.097,1.23953,0.0
216,808.062,1.26639,0.0
217,809.026,1.36292,0.0
218,809.99,1.32786,0.0
219,810.955,1.22972,0.0
220,811.919,1.23756,0.0
221,812.883,1.3277,0.0
222,813.847,1.31667,0.0
223,814.812,1.22337,0.0
224,815.776,1.209,0.0
225,816.74,1.28675,0.0
226,817.704,1.30338,0.0
227,818.669,1.22645,0.0
228,819.633,1.19195,0.0
229,820.597,1.25292,0.0
230,821.562,1.29186,0.0
231,822.526,1.24092,0.0
232,823.49,1.2096,0.0
233,824.454,1.24477,0.0
234,825.419,1.28885,0.0
235,826.383,1.26819,0.0
236,827.347,1.2292,0.0
237,828.311,1.23802,0.0
238,829.276,1.27581,0.0
239,830.24,1.27684,0.0
240,831.204,1.24593,0.0
241,832.168,1.23331,0.0
242,833.133,1.2699,0.0
243,834.097,1.28575,0.0
244,835.061,1.2634,0.0
245,836.026,1.2517,0.0
246,836.99,1.27871,0.0
247,837.954,1.29008,0.0
248,838.918,1.27117,0.0
249,839.883,1.25226,0.0
250,840.847,1.27102,0.0
251,841.811,1.29289,0.0
252,842.775,1.28704,0.0
253,843.74,1.2701,0.0
254,844.704,1.28347,0.0
255,845.668,1.30464,0.0
256,846.633,1.30117,0.0
257,847.597,1.28121,0.0
258,848.561,1.28246,0.0
259,849.525,1.30217,0.0
260,850.49,1.3101,0.0
261,851.454,1.30129,0.0
262,852.418,1.30521,0.0
263,853.383,1.32174,0.0
264,854.347,1.33432,0.0
265,855.311,1.33593,0.0
266,856.275,1.33427,0.0
267,857.24,1.34077,0.0
268,858.204,1.34834,0.0
269,859.168,1.34786,0.0
270,860.132,1.34012,0.0
271,861.097,1.33989,0.0
272,862.061,1.3441,0.0
273,863.025,1.34743,0.0
274,863.99,1.35413,0.0
275,864.954,1.35212,0.0
276,865.918,1.36338,0.0
277,866.882,1.36972,0.0
278,867.847,1.3696,0.0
279,868.811,1.36065,0.0
280,869.775,1.3541,0.0
281,870.739,1.35656,0.0
282,871.704,1.36175,0.0
283,872.668,1.35965,0.0
284,873.632,1.3542,0.0
285,874.597,1.35651,0.0
286,875.561,1.37426,0.0
287,876.525,1.37723,0.0
288,877.489,1.37344,0.0
289,878.454,1.37215,0.0
290,879.418,1.38406,0.0
291,880.382,1.39002,0.0
292,881.346,1.38824,0.0
293,882.311,1.37772,0.0
294,883.275,1.37929,0.0
295,884.239,1.38288,0.0
296,885.204,1.38248,0.0
297,886.168,1.38793,0.0
298,887.132,1.39634,0.0
299,888.096,1.39593,0.0
300,889.061,1.39307,0.0
301,890.025,1.39032,0.0
302,890.989,1.39148,0.0
303,891.953,1.39629,0.0
304,892.918,1.39666,0.0
305,893.882,1.39514,0.0
306,894.846,1.39373,0.0
307,895.811,1.40259,0.0
308,896.775,1.40562,0.0
309,897.739,1.40168,0.0
310,898.703,1.39393,0.0
311,899.668,1.39673,0.0
312,900.632,1.39872,0.0
313,901.596,1.39943,0.0
314,902.561,1.39922,0.0
315,903.525,1.40352,0.0
316,904.489,1.40289,0.0
317,905.453,1.40136,0.0
318,906.418,1.40646,0.0
319,907.382,1.41794,0.0
320,908.346,1.41419,0.0
321,909.31,1.41141,0.0
322,910.275,1.41631,0.0
323,911.239,1.42474,0.0
324,912.203,1.42328,0.0
325,913.168,1.42455,0.0
326,914.132,1.4346,0.0
327,915.096,1.44144,0.0
328,916.06,1.4449,0.0
329,917.025,1.44843,0.0
330,917.989,1.45763,0.0
331,918.953,1.46381,0.0
332,919.917,1.46713,0.0
333,920.882,1.47116,0.0
334,921.846,1.48833,0.0
335,922.81,1.50231,0.0
336,923.774,1.50217,0.0
337,924.739,1.50672,0.0
338,925.703,1.52147,0.0
339,926.667,1.53033,0.0
340,927.632,1.53936,0.0
341,928.596,1.54192,0.0
342,929.56,1.55368,0.0
343,930.524,1.56952,0.0
344,931.489,1.58438,0.0
345,932.453,1.58759,0.0
346,933.417,1.59347,0.0
347,934.381,1.60866,0.0
348,935.346,1.62495,0.0
349,936.31,1.63187,0.0
350,937.274,1.64141,0.0
351,938.239,1.65739,0.0
352,939.203,1.68426,0.0
353,940.167,1.69259,0.0
354,941.131,1.69707,0.0
355,942.096,1.703,0.0
356,943.06,1.72694,0.0
357,944.024,1.73994,0.0
358,944.989,1.74941,0.0
359,945.953,1.76411,0.0
360,946.917,1.78734,0.0
361,947.881,1.80015,0.0
362,948.846,1.81192,0.0
363,949.81,1.8297,0.0
364,950.774,1.85671,0.0
365,951.739,1.87168,0.0
366,952.703,1.87799,0.0
367,953.667,1.8881,0.0
368,954.631,1.9134,0.0
369,955.596,1.9332,0.0
370,956.56,1.94472,0.0
371,957.524,1.94934,0.0
372,958.488,1.97027,0.0
373,959.453,1.99318,0.0
374,960.417,2.0109,0.0
375,961.381,2.01792,0.0
376,962.346,2.0301,0.0
377,963.31,2.05679,0.0
378,964.274,2.07698,0.0
379,965.238,2.08393,0.0
380,966.203,2.08946,0.0
381,967.167,2.11285,0.0
382,968.131,2.13386,0.0
383,969.095,2.14037,0.0
384,970.06,2.15065,0.0
385,971.024,2.16807,0.0
386,971.988,2.18756,0.0
387,972.952,2.19245,0.0
388,973.917,2.19639,0.0
389,974.881,2.21813,0.0
390,975.845,2.24167,0.0
391,976.81,2.24826,0.0
392,977.774,2.24891,0.0
393,978.738,2.25647,0.0
394,979.702,2.27414,0.0
395,980.667,2.28648,0.0
396,981.631,2.29102,0.0
397,982.595,2.29449,0.0
398,983.559,2.30989,0.0
399,984.524,2.32788,0.0
400,985.488,2.33706,0.0
401,986.452,2.3425,0.0
402,987.417,2.35534,0.0
403,988.381,2.36915,0.0
404,989.345,2.36881,0.0
405,990.309,2.37129,0.0
406,991.274,2.38207,0.0
407,992.238,2.39392,0.0
408,993.202,2.39933,0.0
409,994.167,2.40416,0.0
410,995.131,2.41126,0.0
411,996.095,2.4206,0.0
