5.997784e+002,3.134539e-002
6.007427e+002,3.214001e-002
6.017070e+002,3.238832e-002
6.026713e+002,3.210039e-002
6.036356e+002,3.386392e-002
6.045998e+002,3.502117e-002
6.055641e+002,3.464081e-002
6.065284e+002,3.436788e-002
6.074926e+002,3.565281e-002
6.084569e+002,3.677494e-002
6.094212e+002,3.776745e-002
6.103854e+002,3.849525e-002
6.113497e+002,4.037346e-002
6.123140e+002,4.349510e-002
6.132783e+002,4.616103e-002
6.142426e+002,4.617225e-002
6.152068e+002,4.738222e-002
6.161711e+002,5.006928e-002
6.171354e+002,5.244547e-002
6.180997e+002,5.447317e-002
6.190639e+002,5.727733e-002
6.200282e+002,6.006813e-002
6.209925e+002,6.303810e-002
6.219567e+002,6.639151e-002
6.229210e+002,7.026265e-002
6.238853e+002,7.398248e-002
6.248495e+002,7.745405e-002
6.258138e+002,8.223052e-002
6.267781e+002,8.850442e-002
6.277424e+002,9.270235e-002
6.287067e+002,9.523311e-002
6.296710e+002,9.997722e-002
6.306352e+002,1.059064e-001
6.315995e+002,1.094089e-001
6.325638e+002,1.134729e-001
6.335280e+002,1.194583e-001
6.344923e+002,1.249841e-001
6.354566e+002,1.290866e-001
6.364208e+002,1.345756e-001
6.373851e+002,1.415550e-001
6.383494e+002,1.475570e-001
6.393137e+002,1.520091e-001
6.402780e+002,1.562007e-001
6.412422e+002,1.606284e-001
6.422065e+002,1.653462e-001
6.431708e+002,1.713656e-001
6.441351e+002,1.771770e-001
6.450993e+002,1.809715e-001
6.460636e+002,1.850362e-001
6.470279e+002,1.901445e-001
6.479921e+002,1.936848e-001
6.489564e+002,1.969674e-001
6.499207e+002,2.014897e-001
6.508849e+002,2.069415e-001
6.518492e+002,2.139630e-001
6.528135e+002,2.169872e-001
6.537778e+002,2.191041e-001
6.547421e+002,2.302525e-001
6.557064e+002,2.353466e-001
6.566706e+002,2.288560e-001
6.576349e+002,2.329019e-001
6.585992e+002,2.452145e-001
6.595634e+002,2.422689e-001
6.605277e+002,2.363093e-001
6.614920e+002,2.473665e-001
6.624562e+002,2.574492e-001
6.634205e+002,2.507361e-001
6.643848e+002,2.472278e-001
6.653491e+002,2.574880e-001
6.663134e+002,2.501251e-001
6.672776e+002,2.020752e-001
6.682419e+002,1.922311e-001
6.692062e+002,2.360849e-001
6.701705e+002,2.553322e-001
6.711347e+002,2.515754e-001
6.720990e+002,2.523857e-001
6.730633e+002,2.568499e-001
6.740275e+002,2.540571e-001
6.749918e+002,2.496141e-001
6.759561e+002,2.492332e-001
