,wavenumber,experimental,CO2 v2a phase I,CO2 v2b phase I,CO2 gas,linear baseline,residue,CO2 gas experimental
0,599.778,6.32894,0.0,0.0,7.46567e-09,3.43263,2.8963,0.227444
1,600.743,5.99469,3.13851e-45,0.0,1.39697e-08,3.40854,2.58615,0.216101
2,601.707,5.68218,5.02161e-44,0.0,2.58325e-08,3.38446,2.29773,0.192239
3,602.671,5.06578,1.37153e-42,0.0,4.72076e-08,3.36037,1.70541,0.180642
4,603.636,5.10112,3.49693e-41,0.0,8.52551e-08,3.33628,1.76484,0.177622
5,604.6,5.14873,8.44293e-40,0.0,1.52148e-07,3.3122,1.83653,0.16982
6,605.564,5.06907,1.93033e-38,0.0,2.68352e-07,3.28811,1.78096,0.158096
7,606.528,4.88923,4.17761e-37,0.0,4.67741e-07,3.26402,1.62521,0.15116
8,607.493,4.37731,8.55553e-36,0.0,8.05649e-07,3.23994,1.13737,0.145417
9,608.457,4.08176,1.65905e-34,0.0,1.37144e-06,3.21585,0.865911,0.13633
10,609.421,4.4612,3.04533e-33,0.0,2.30711e-06,3.19176,1.26944,0.12671
11,610.385,4.56082,5.28982e-32,0.0,3.83534e-06,3.16768,1.39314,0.120122
12,611.35,4.7093,8.7002e-31,0.0,6.30123e-06,3.14359,1.56571,0.115714
13,612.314,4.69022,1.35452e-29,0.0,1.02308e-05,3.1195,1.57071,0.1095
14,613.278,4.10658,1.99618e-28,0.0,1.64158e-05,3.09541,1.01115,0.104177
15,614.243,3.90129,2.78465e-27,0.0,2.60301e-05,3.07132,0.829941,0.100336
16,615.207,3.97767,3.67612e-26,0.0,4.07881e-05,3.04724,0.930385,0.100433
17,616.171,3.73155,4.59494e-25,0.0,6.31651e-05,3.02315,0.708331,0.110984
18,617.135,3.71694,5.43669e-24,0.0,9.66685e-05,2.99906,0.717782,0.133182
19,618.1,3.49853,6.08896e-23,0.0,0.000146203,2.97498,0.523408,0.124942
20,619.064,3.3248,6.45369e-22,0.0,0.000218512,2.95089,0.373692,0.0879623
21,620.028,3.30397,6.47649e-21,0.0,0.000322758,2.9268,0.376845,0.0781742
22,620.992,3.21962,6.15218e-20,0.0,0.000471134,2.90272,0.316432,0.0758359
23,621.957,2.97376,5.53073e-19,0.0,0.00067961,2.87863,0.0944484,0.0718114
24,622.921,3.02087,4.70752e-18,1.69974e-45,0.000968852,2.85454,0.165358,0.0717789
25,623.885,2.94021,3.79283e-17,2.81816e-42,0.00136496,2.83046,0.108394,0.0721009
26,624.85,2.84839,2.89202e-16,2.92896e-39,0.00190036,2.80637,0.0401177,0.0720791
27,625.814,2.90556,2.08782e-15,2.34136e-36,0.00261476,2.78228,0.12066,0.0705137
28,626.778,3.00174,1.42673e-14,1.43845e-33,0.00355545,2.75819,0.23999,0.0679161
29,627.742,2.71737,9.22895e-14,6.79201e-31,0.00477776,2.73411,-0.0215116,0.0626143
30,628.707,2.4506,5.65093e-13,2.46476e-28,0.00634487,2.71002,-0.265768,0.0598387
31,629.671,2.70013,3.27528e-12,6.87427e-26,0.00832704,2.68593,0.00587029,0.0670775
32,630.635,2.82302,1.79663e-11,1.47269e-23,0.0107998,2.66185,0.150371,0.0694881
33,631.6,2.65007,9.33051e-11,2.42615e-21,0.0138429,2.63776,-0.00153135,0.0673197
34,632.564,2.56978,4.58683e-10,3.07183e-19,0.0175351,2.61367,-0.0614293,0.0716705
35,633.528,2.58576,2.13408e-09,2.9878e-17,0.021951,2.58959,-0.0257778,0.0778384
36,634.492,2.54516,9.40026e-09,2.23454e-15,0.0271575,2.5655,-0.0474944,0.0818219
37,635.457,2.46824,3.91945e-08,1.2844e-13,0.033205,2.54141,-0.106376,0.086023
38,636.421,2.50824,1.54672e-07,5.67177e-12,0.040123,2.51733,-0.0492069,0.0828598
39,637.385,2.54698,5.77854e-07,1.9257e-10,0.047916,2.49324,0.00582568,0.0843794
40,638.349,2.52571,2.04355e-06,5.02491e-09,0.0565537,2.46915,-7.13054e-07,0.0870243
41,639.314,2.47362,6.84086e-06,1.00773e-07,0.0659694,2.44506,-0.0374211,0.0911435
42,640.278,2.49939,2.16768e-05,1.55322e-06,0.076056,2.42097,0.0023371,0.0960154
43,641.242,2.48036,6.50116e-05,1.83945e-05,0.0866641,2.39689,-0.00327738,0.0972497
44,642.207,2.4886,0.000184585,0.000167469,0.0976081,2.3728,0.0178335,0.0997352
45,643.171,2.54936,0.00049609,0.0011718,0.108664,2.34871,0.0903134,0.105864
46,644.135,2.52999,0.00126207,0.00630153,0.11958,2.32463,0.0782206,0.11202
47,645.099,2.48065,0.00303898,0.0260407,0.130087,2.30054,0.0209394,0.11473
48,646.064,2.53889,0.00692743,0.0827186,0.139911,2.27645,0.0328772,0.1186
49,647.028,2.66737,0.0149477,0.201942,0.148784,2.25237,0.0493306,0.131147
50,647.992,2.78502,0.0305286,0.378879,0.156461,2.22828,-0.00913259,0.149624
51,648.956,2.92172,0.0590244,0.546364,0.162736,2.20419,-0.050597,0.161288
52,649.921,3.02028,0.108023,0.605531,0.167449,2.18011,-0.0408306,0.151173
53,650.885,3.10694,0.187126,0.515795,0.170504,2.15602,0.0774948,0.145348
54,651.849,3.02051,0.306858,0.337668,0.17187,2.13193,0.0721773,0.146985
55,652.813,2.8429,0.47632,0.169893,0.171589,2.10785,-0.0827428,0.139033
56,653.778,2.89655,0.699876,0.0656953,0.169774,2.08376,-0.12255,0.140264
57,654.742,3.22336,0.973425,0.0195238,0.166604,2.05967,0.00413321,0.154692
58,655.706,3.43452,1.28157,0.00445933,0.162315,2.03558,-0.0494101,0.143825
59,656.671,3.6174,1.5971,0.000782946,0.15719,2.0115,-0.149176,0.130198
60,657.635,4.19582,1.88406,0.000105632,0.151539,1.98741,0.172709,0.141209
61,658.599,4.42919,2.10384,1.09529e-05,0.145693,1.96332,0.216324,0.146972
62,659.563,4.31607,2.22378,8.73089e-07,0.139979,1.93924,0.013077,0.126868
63,660.528,4.16279,2.22501,5.34753e-08,0.134707,1.91515,-0.112069,0.111362
64,661.492,4.21359,2.10732,2.51721e-09,0.130156,1.89106,0.085045,0.12125
65,662.456,3.80988,1.88928,9.10993e-11,0.126565,1.86698,-0.0729382,0.1193
66,663.42,3.34007,1.6033,2.53302e-12,0.124119,1.84289,-0.230244,0.08795
67,664.385,3.09193,1.28794,5.413e-14,0.122962,1.8188,-0.137773,0.0728445
68,665.349,3.03153,0.979342,8.89014e-16,0.12409,1.79471,0.133389,0.0822226
69,666.313,2.78974,0.704907,1.12216e-17,0.14868,1.77063,0.165531,0.125087
70,667.278,2.9265,0.480293,1.08914e-19,0.456441,1.74654,0.243229,0.337206
71,668.242,3.20345,0.30976,8.12058e-22,1.19141,1.72245,-0.0201671,0.848897
72,669.206,2.55237,0.189105,4.65328e-24,0.743979,1.69836,-0.0790834,0.536972
73,670.17,2.03193,0.10928,2.04932e-26,0.322886,1.67428,-0.0745168,0.243268
74,671.135,1.82786,0.0597809,6.94058e-29,0.171932,1.65019,-0.0540409,0.137674
75,672.099,1.97429,0.0309542,1.80549e-31,0.157049,1.6261,0.160186,0.131543
76,673.063,1.88928,0.0151718,3.60975e-34,0.163169,1.60202,0.108923,0.140923
77,674.028,1.70823,0.00703958,5.5504e-37,0.170206,1.57793,-0.046951,0.138113
78,674.992,1.64086,0.0030916,6.55487e-40,0.176927,1.55384,-0.0930063,0.140961
79,675.956,1.73135,0.00128523,5.94908e-43,0.183083,1.52976,0.0172246,0.152018
80,676.92,1.71964,0.000505799,0.0,0.188461,1.50567,0.0249987,0.158909
81,677.885,1.64437,0.000188406,0.0,0.192878,1.48158,-0.0302772,0.158511
82,678.849,1.51522,6.64308e-05,0.0,0.196177,1.4575,-0.138514,0.153509
83,679.813,1.51979,2.2172e-05,0.0,0.198235,1.43341,-0.111877,0.153869
84,680.778,1.66386,7.00484e-06,0.0,0.198968,1.40932,0.0555623,0.160638
85,681.742,1.63366,2.09484e-06,0.0,0.198326,1.38523,0.0501,0.156576
86,682.706,1.47307,5.93091e-07,0.0,0.196301,1.36115,-0.0843795,0.143515
87,683.67,1.5067,1.58926e-07,0.0,0.192915,1.33706,-0.0232722,0.140145
88,684.635,1.61325,4.03114e-08,0.0,0.18823,1.31297,0.112051,0.146324
89,685.599,1.5474,9.68023e-09,0.0,0.182334,1.28889,0.0761838,0.139416
90,686.563,1.4036,2.20008e-09,0.0,0.175343,1.2648,-0.0365393,0.124597
91,687.527,1.37871,4.73317e-10,0.0,0.167394,1.24071,-0.0293997,0.126006
92,688.492,1.46069,9.6404e-11,0.0,0.158643,1.21663,0.0854161,0.134547
93,689.456,1.39712,1.85836e-11,0.0,0.149252,1.19254,0.0553334,0.125377
94,690.42,1.28974,3.39094e-12,0.0,0.139391,1.16845,-0.0180974,0.105497
95,691.385,1.37373,5.85696e-13,0.0,0.129231,1.14436,0.10014,0.0998224
96,692.349,1.53247,9.57593e-14,0.0,0.118935,1.12028,0.293265,0.10262
97,693.313,1.39366,1.4823e-14,0.0,0.108659,1.09619,0.188814,0.0950217
98,694.277,1.30144,2.17154e-15,0.0,0.0985448,1.0721,0.130794,0.0805441
99,695.242,1.34513,3.01132e-16,0.0,0.0887178,1.04801,0.208399,0.0762428
100,696.206,1.44198,3.95283e-17,0.0,0.0792863,1.02393,0.338765,0.079213
101,697.17,1.38108,4.91259e-18,0.0,0.0703397,0.999842,0.310899,0.0719634
102,698.134,1.3414,5.77805e-19,0.0,0.0619452,0.975754,0.303702,0.0590695
103,699.099,1.35027,6.4344e-20,0.0,0.054154,0.951669,0.344443,0.0542104
104,700.063,1.43448,6.78111e-21,0.0,0.0469956,0.927581,0.459902,0.0558953
