Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sat Jun  6 20:40:01 2020 ---
FN7114 line across CO2 30 microns0028.CSV, 0028, Spec0028_VoigtH, VoigtH, 1.901072840568, 3107.4166721073, 5.9167648353959, 1, 3.3096023111881, 3.9752375001394, 1.9876187500697, 0.23073408252379, 
FN7114 line across CO2 30 microns0029.CSV, 0029, Spec0029_VoigtH, VoigtH, 1.8821868736415, 3107.1386342535, 5.5147629365811, 1, 3.0847384792744, 3.7051485127023, 1.8525742563511, 0.24509429001042, 
FN7114 line across CO2 30 microns0030.CSV, 0030, Spec0030_VoigtH, VoigtH, 1.9967661929282, 3107.3460938871, 5.6104036917549, 1, 3.1382361039346, 3.7694057084985, 1.8847028542493, 0.25558208267266, 
FN7114 line across CO2 30 microns0031.CSV, 0031, Spec0031_VoigtH, VoigtH, 1.9900473664597, 3107.1386378901, 5.1963760916686, 1, 2.9066455742682, 3.4912371336534, 1.7456185668267, 0.27501737907296, 
FN7114 line across CO2 30 microns0032.CSV, 0032, Spec0032_VoigtH, VoigtH, 2.0970672649449, 3107.0910687529, 5.175562656049, 1, 2.895003368342, 3.4772534192278, 1.7386267096139, 0.29097259803214, 
FN7114 line across CO2 30 microns0033.CSV, 0033, Spec0033_VoigtH, VoigtH, 2.067842017162, 3106.9580627166, 4.8254890947326, 1, 2.6991861777233, 3.2420530035501, 1.621026501775, 0.30773246705737, 
FN7114 line across CO2 30 microns0034.CSV, 0034, Spec0034_VoigtH, VoigtH, 2.0385149055752, 3107.1211401193, 4.8407631933375, 1, 2.7077298994108, 3.2523150591234, 1.6261575295617, 0.30241084029584, 
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_VoigtH, VoigtH, 2.2970679892018, 3107.1303543216, 4.796881969083, 1, 2.6831844923766, 3.2228330207018, 1.6114165103509, 0.34388411792584, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_VoigtH, VoigtH, 2.4208835728827, 3107.0684401203, 4.0994946453485, 1, 2.2930938325928, 2.7542863877773, 1.3771431938886, 0.42407325273891, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_VoigtH, VoigtH, 2.8172758242877, 3107.1019933773, 3.9878726750999, 1, 2.2306569534889, 2.6792920531508, 1.3396460265754, 0.50732397451522, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_VoigtH, VoigtH, 3.1016626706596, 3107.1318951163, 3.9409369066971, 1, 2.2044029562615, 2.6477577887608, 1.3238788943804, 0.56518728452536, 
