Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Fri Jun  5 15:51:09 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0027.CSV, 0027, Spec0027_Voigt5, Voigt5, 15.070257440102, 660.46643476245, 9.5326486678102, 0, 9.5326486678102, 0, 5.7249389649975, 1.4851657519229, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0028.CSV, 0028, Spec0028_Voigt5, Voigt5, 15.561991115568, 660.27810434224, 9.3672165025747, 0, 9.3672165025747, 0, 5.6255868245983, 1.560710839076, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0029.CSV, 0029, Spec0029_Voigt5, Voigt5, 16.873595668229, 660.23014439109, 9.150408013045, 0, 9.150408013045, 0, 5.4953800570037, 1.7323475263081, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0030.CSV, 0030, Spec0030_Voigt5, Voigt5, 17.727732271454, 660.33641941246, 9.069194072337, 0, 9.069194072337, 0, 5.4466061149586, 1.8363367698495, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0031.CSV, 0031, Spec0031_Voigt5, Voigt5, 19.825177809748, 660.22667148382, 9.5533632707206, 0, 9.5533632707206, 0, 5.73737935187, 1.9495242443697, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0032.CSV, 0032, Spec0032_Voigt5, Voigt5, 20.391106096059, 660.22299823638, 9.36836339761, 0, 9.36836339761, 0, 5.6262756052621, 2.0447720366011, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0033.CSV, 0033, Spec0033_Voigt5, Voigt5, 22.072830866404, 660.0927912389, 9.6268144866897, 0, 9.6268144866897, 0, 5.7814913025965, 2.153987974208, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0034.CSV, 0034, Spec0034_Voigt5, Voigt5, 23.106045775655, 660.05527749954, 9.6917156902643, 0, 9.6917156902643, 0, 5.8204684475818, 2.2397152420014, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0035.CSV, 0035, Spec0035_Voigt5, Voigt5, 22.108393859654, 660.12512254206, 9.3366142538122, 0, 9.3366142538122, 0, 5.6072083012244, 2.2245164333917, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0036.CSV, 0036, Spec0036_Voigt5, Voigt5, 22.303056644643, 660.09677497008, 9.767141049981, 0, 9.767141049981, 0, 5.8657659924551, 2.1451850885966, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0037.CSV, 0037, Spec0037_Voigt5, Voigt5, 21.510669673381, 660.13939338539, 9.8045305168421, 0, 9.8045305168421, 0, 5.8882206557048, 2.0610805744577, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0038.CSV, 0038, Spec0038_Voigt5, Voigt5, 19.485026143335, 660.28664405325, 9.5626053155696, 0, 9.5626053155696, 0, 5.7429297654555, 1.9142233223621, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0039.CSV, 0039, Spec0039_Voigt5, Voigt5, 17.590505904245, 660.37199753557, 9.4806692534488, 0, 9.4806692534488, 0, 5.693722145305, 1.7430392861324, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0040.CSV, 0040, Spec0040_Voigt5, Voigt5, 13.681163067247, 660.51699267924, 9.0278280276815, 0, 9.0278280276815, 0, 5.4217632733593, 1.4236642627751, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0041.CSV, 0041, Spec0041_Voigt5, Voigt5, 11.389094164891, 660.5440062526, 8.8155245127546, 0, 8.8155245127546, 0, 5.2942620187379, 1.2136930580931, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0042.CSV, 0042, Spec0042_Voigt5, Voigt5, 9.1730751604985, 660.65956784628, 9.4891346776302, 0, 9.4891346776302, 0, 5.6988061506471, 0.90814706357689, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0043.CSV, 0043, Spec0043_Voigt5, Voigt5, 7.3303873482087, 660.69086612172, 8.6675102604477, 0, 8.6675102604477, 0, 5.2053704011051, 0.79451189052152, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0044.CSV, 0044, Spec0044_Voigt5, Voigt5, 5.669194994943, 660.72191431483, 8.6543982549309, 0, 8.6543982549309, 0, 5.1974958392799, 0.61539272823777, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0045.CSV, 0045, Spec0045_Voigt5, Voigt5, 4.7045691642845, 660.96455639878, 9.210002568183, 0, 9.210002568183, 0, 5.5311702348127, 0.47987480430037, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0046.CSV, 0046, Spec0046_Voigt5, Voigt5, 4.0006082679804, 660.96051945626, 8.736510340823, 0, 8.736510340823, 0, 5.2468091724785, 0.43018560567371, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0047.CSV, 0047, Spec0047_Voigt5, Voigt5, 3.0789859995765, 660.89501826336, 7.4426543439136, 0, 7.4426543439136, 0, 4.4697694566632, 0.38864018665283, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0048.CSV, 0048, Spec0048_Voigt5, Voigt5, 2.4541327952481, 660.60816413534, 8.1209085373983, 0, 8.1209085373983, 0, 4.8771026119872, 0.28389731259201, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0049.CSV, 0049, Spec0049_Voigt5, Voigt5, 1.3924926910842, 660.87769073496, 8.4537379658253, 0, 8.4537379658253, 0, 5.0769870543808, 0.15474334614514, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0050.CSV, 0050, Spec0050_Voigt5, Voigt5, 0, 659.9936981111, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0051.CSV, 0051, Spec0051_Voigt5, Voigt5, 0, 659.98773323051, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0052.CSV, 0052, Spec0052_Voigt5, Voigt5, 0, 660.01300911746, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0053.CSV, 0053, Spec0053_Voigt5, Voigt5, 0, 659.98426863162, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0054.CSV, 0054, Spec0054_Voigt5, Voigt5, 0, 660.04611036213, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0055.CSV, 0055, Spec0055_Voigt5, Voigt5, 0, 660.00417506743, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0056.CSV, 0056, Spec0056_Voigt5, Voigt5, 0, 659.98390015025, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0057.CSV, 0057, Spec0057_Voigt5, Voigt5, 0, 659.98441875842, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0058.CSV, 0058, Spec0058_Voigt5, Voigt5, 0, 660.00095426617, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0059.CSV, 0059, Spec0059_Voigt5, Voigt5, 0, 659.97641528858, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0060.CSV, 0060, Spec0060_Voigt5, Voigt5, 0, 659.97899676075, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0061.CSV, 0061, Spec0061_Voigt5, Voigt5, 0, 660.00420758023, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0062.CSV, 0062, Spec0062_Voigt5, Voigt5, 0, 659.97986574895, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0063.CSV, 0063, Spec0063_Voigt5, Voigt5, 0, 659.97185114697, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0064.CSV, 0064, Spec0064_Voigt5, Voigt5, 0, 659.98771574251, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0065.CSV, 0065, Spec0065_Voigt5, Voigt5, 0, 659.98204153881, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0066.CSV, 0066, Spec0066_Voigt5, Voigt5, 0, 660.00519884192, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0067.CSV, 0067, Spec0067_Voigt5, Voigt5, 0, 660.0069112719, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0068.CSV, 0068, Spec0068_Voigt5, Voigt5, 0, 660.12897607466, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0069.CSV, 0069, Spec0069_Voigt5, Voigt5, 0, 660.01426797734, 1.6651092223154, 0, 1.6651092223154, 0, 1, 0, 
