Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 12:43:45 2020 ---
FN7112 map truncated version0001.CSV, 0001, Spec0001_CO2GasV2, CO2GasV2, -0.081514579421831, 
FN7112 map truncated version0002.CSV, 0002, Spec0002_CO2GasV2, CO2GasV2, 0.19570907152639, 
FN7112 map truncated version0003.CSV, 0003, Spec0003_CO2GasV2, CO2GasV2, 0.17818220821447, 
FN7112 map truncated version0004.CSV, 0004, Spec0004_CO2GasV2, CO2GasV2, 0.14424442118025, 
FN7112 map truncated version0005.CSV, 0005, Spec0005_CO2GasV2, CO2GasV2, 0.094193649343155, 
FN7112 map truncated version0006.CSV, 0006, Spec0006_CO2GasV2, CO2GasV2, 0.20628580003441, 
FN7112 map truncated version0007.CSV, 0007, Spec0007_CO2GasV2, CO2GasV2, 0.15328205460476, 
FN7112 map truncated version0008.CSV, 0008, Spec0008_CO2GasV2, CO2GasV2, 0.1245156380866, 
FN7112 map truncated version0009.CSV, 0009, Spec0009_CO2GasV2, CO2GasV2, 0.095345236503061, 
FN7112 map truncated version0010.CSV, 0010, Spec0010_CO2GasV2, CO2GasV2, 0.11160132468738, 
FN7112 map truncated version0011.CSV, 0011, Spec0011_CO2GasV2, CO2GasV2, -0.0016969060197926, 
FN7112 map truncated version0012.CSV, 0012, Spec0012_CO2GasV2, CO2GasV2, -0.048836870685586, 
FN7112 map truncated version0013.CSV, 0013, Spec0013_CO2GasV2, CO2GasV2, -0.028464046344938, 
FN7112 map truncated version0014.CSV, 0014, Spec0014_CO2GasV2, CO2GasV2, 0.061465534917995, 
FN7112 map truncated version0015.CSV, 0015, Spec0015_CO2GasV2, CO2GasV2, 0.065397639940318, 
FN7112 map truncated version0016.CSV, 0016, Spec0016_CO2GasV2, CO2GasV2, 0.014988560979461, 
FN7112 map truncated version0017.CSV, 0017, Spec0017_CO2GasV2, CO2GasV2, 0.30099556674834, 
