Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 10:20:07 2020 ---
FN7114 map truncated version0059.CSV, 0059, Spec0059_CO2GasV3, CO2GasV3, 0.75866332596263, 
FN7114 map truncated version0060.CSV, 0060, Spec0060_CO2GasV3, CO2GasV3, 0.86243523686381, 
FN7114 map truncated version0061.CSV, 0061, Spec0061_CO2GasV3, CO2GasV3, 0.62731655782276, 
FN7114 map truncated version0062.CSV, 0062, Spec0062_CO2GasV3, CO2GasV3, 0.72292816377991, 
FN7114 map truncated version0063.CSV, 0063, Spec0063_CO2GasV3, CO2GasV3, 0.86912213788509, 
FN7114 map truncated version0064.CSV, 0064, Spec0064_CO2GasV3, CO2GasV3, 1.0520553761958, 
FN7114 map truncated version0065.CSV, 0065, Spec0065_CO2GasV3, CO2GasV3, 0.85773113739667, 
FN7114 map truncated version0066.CSV, 0066, Spec0066_CO2GasV3, CO2GasV3, 0.032286745661098, 
FN7114 map truncated version0067.CSV, 0067, Spec0067_CO2GasV3, CO2GasV3, 0.23988716213968, 
FN7114 map truncated version0068.CSV, 0068, Spec0068_CO2GasV3, CO2GasV3, 0.83826746389536, 
FN7114 map truncated version0069.CSV, 0069, Spec0069_CO2GasV3, CO2GasV3, 1.0846539847829, 
FN7114 map truncated version0070.CSV, 0070, Spec0070_CO2GasV3, CO2GasV3, 1.577506323309, 
FN7114 map truncated version0071.CSV, 0071, Spec0071_CO2GasV3, CO2GasV3, -0.086993235128127, 
FN7114 map truncated version0072.CSV, 0072, Spec0072_CO2GasV3, CO2GasV3, -0.29556109590149, 
FN7114 map truncated version0073.CSV, 0073, Spec0073_CO2GasV3, CO2GasV3, -0.36182000349009, 
FN7114 map truncated version0074.CSV, 0074, Spec0074_CO2GasV3, CO2GasV3, -0.47553125085825, 
FN7114 map truncated version0075.CSV, 0075, Spec0075_CO2GasV3, CO2GasV3, -0.31066427060683, 
FN7114 map truncated version0076.CSV, 0076, Spec0076_CO2GasV3, CO2GasV3, 0.2366495370904, 
FN7114 map truncated version0077.CSV, 0077, Spec0077_CO2GasV3, CO2GasV3, 0.085881146545973, 
FN7114 map truncated version0078.CSV, 0078, Spec0078_CO2GasV3, CO2GasV3, 0.12469219508734, 
FN7114 map truncated version0079.CSV, 0079, Spec0079_CO2GasV3, CO2GasV3, 0.13607430089296, 
FN7114 map truncated version0080.CSV, 0080, Spec0080_CO2GasV3, CO2GasV3, 0.077875415963706, 
FN7114 map truncated version0081.CSV, 0081, Spec0081_CO2GasV3, CO2GasV3, -0.11669073306881, 
FN7114 map truncated version0082.CSV, 0082, Spec0082_CO2GasV3, CO2GasV3, -0.12684109784449, 
FN7114 map truncated version0083.CSV, 0083, Spec0083_CO2GasV3, CO2GasV3, -0.031175946003791, 
FN7114 map truncated version0084.CSV, 0084, Spec0084_CO2GasV3, CO2GasV3, -0.018966773638863, 
FN7114 map truncated version0085.CSV, 0085, Spec0085_CO2GasV3, CO2GasV3, -0.0038700897640592, 
FN7114 map truncated version0086.CSV, 0086, Spec0086_CO2GasV3, CO2GasV3, -0.035088149598566, 
FN7114 map truncated version0087.CSV, 0087, Spec0087_CO2GasV3, CO2GasV3, -0.17730978045294, 
FN7114 map truncated version0088.CSV, 0088, Spec0088_CO2GasV3, CO2GasV3, -0.26072367618671, 
FN7114 map truncated version0089.CSV, 0089, Spec0089_CO2GasV3, CO2GasV3, -0.36162407529323, 
FN7114 map truncated version0090.CSV, 0090, Spec0090_CO2GasV3, CO2GasV3, -0.44944803186481, 
FN7114 map truncated version0091.CSV, 0091, Spec0091_CO2GasV3, CO2GasV3, 0.28292435442015, 
FN7114 map truncated version0092.CSV, 0092, Spec0092_CO2GasV3, CO2GasV3, 0.39143326432338, 
FN7114 map truncated version0093.CSV, 0093, Spec0093_CO2GasV3, CO2GasV3, 0.34817498618946, 
FN7114 map truncated version0094.CSV, 0094, Spec0094_CO2GasV3, CO2GasV3, 0.34144719863013, 
FN7114 map truncated version0095.CSV, 0095, Spec0095_CO2GasV3, CO2GasV3, 0.32173691063246, 
FN7114 map truncated version0096.CSV, 0096, Spec0096_CO2GasV3, CO2GasV3, 0.34920784159607, 
FN7114 map truncated version0097.CSV, 0097, Spec0097_CO2GasV3, CO2GasV3, 0.14328226554823, 
FN7114 map truncated version0098.CSV, 0098, Spec0098_CO2GasV3, CO2GasV3, 0.011818781027173, 
FN7114 map truncated version0099.CSV, 0099, Spec0099_CO2GasV3, CO2GasV3, -0.011743427533495, 
FN7114 map truncated version0100.CSV, 0100, Spec0100_CO2GasV3, CO2GasV3, -0.15829387001576, 
FN7114 map truncated version0101.CSV, 0101, Spec0101_CO2GasV3, CO2GasV3, -0.20179517625043, 
FN7114 map truncated version0102.CSV, 0102, Spec0102_CO2GasV3, CO2GasV3, -0.22464714494678, 
FN7114 map truncated version0103.CSV, 0103, Spec0103_CO2GasV3, CO2GasV3, -0.29017589190832, 
FN7114 map truncated version0104.CSV, 0104, Spec0104_CO2GasV3, CO2GasV3, -0.2918983919078, 
FN7114 map truncated version0105.CSV, 0105, Spec0105_CO2GasV3, CO2GasV3, -0.34818313773475, 
FN7114 map truncated version0106.CSV, 0106, Spec0106_CO2GasV3, CO2GasV3, 0.085880175833365, 
FN7114 map truncated version0107.CSV, 0107, Spec0107_CO2GasV3, CO2GasV3, 0.13575305907709, 
FN7114 map truncated version0108.CSV, 0108, Spec0108_CO2GasV3, CO2GasV3, 0.15999238179674, 
FN7114 map truncated version0109.CSV, 0109, Spec0109_CO2GasV3, CO2GasV3, 0.13605426592513, 
FN7114 map truncated version0110.CSV, 0110, Spec0110_CO2GasV3, CO2GasV3, 0.10076491021349, 
FN7114 map truncated version0111.CSV, 0111, Spec0111_CO2GasV3, CO2GasV3, 0.11908673442601, 
FN7114 map truncated version0112.CSV, 0112, Spec0112_CO2GasV3, CO2GasV3, 0.18906662365651, 
FN7114 map truncated version0113.CSV, 0113, Spec0113_CO2GasV3, CO2GasV3, 0.25401641248172, 
FN7114 map truncated version0114.CSV, 0114, Spec0114_CO2GasV3, CO2GasV3, 0.20800678931878, 
FN7114 map truncated version0115.CSV, 0115, Spec0115_CO2GasV3, CO2GasV3, 0.17180734100448, 
