Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sun Jun  7 16:07:28 2020 ---
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_VoigtP, VoigtP, 0, 1360.7488235153, 45.896539481832, 0, 45.896539481832, 0, 27.56368102869, 0, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_VoigtP, VoigtP, 0, 1361.891788875, 44.458000380507, 0, 44.458000380507, 0, 26.699750253432, 0, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_VoigtP, VoigtP, 0, 1364.0641150445, 39.935341099947, 0, 39.935341099947, 0, 23.983616548838, 0, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_VoigtP, VoigtP, 0, 1367.2834590887, 34.50194884975, 0, 34.50194884975, 0, 20.720531955119, 0, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_VoigtP, VoigtP, 0, 1370.221168036, 29.199559536938, 0, 29.199559536938, 0, 17.536122643255, 0, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_VoigtP, VoigtP, 0, 1370.9570768612, 26.213163554677, 0, 26.213163554677, 0, 15.742609075353, 0, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_VoigtP, VoigtP, 0, 1371.6786537034, 23.886642143204, 0, 23.886642143204, 0, 14.345390574433, 0, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_VoigtP, VoigtP, 7.7905281007981, 1372.3437340318, 23.31315888749, 0, 23.31315888749, 0, 14.000978779682, 0.31393057570729, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_VoigtP, VoigtP, 8.2973770201043, 1372.7008137066, 22.476173691309, 0, 22.476173691309, 0, 13.498317942204, 0.34680574747232, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_VoigtP, VoigtP, 9.0905478973637, 1372.4264431674, 22.838176157789, 0, 22.838176157789, 0, 13.715722579467, 0.37393531504585, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_VoigtP, VoigtP, 10.111539407447, 1372.1894746939, 23.286466046231, 0, 23.286466046231, 0, 13.984948094786, 0.40792613949776, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_VoigtP, VoigtP, 11.043738081038, 1371.4337201266, 23.32273757622, 0, 23.32273757622, 0, 14.006731368522, 0.44484059610928, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_VoigtP, VoigtP, 12.647635097467, 1370.7451223754, 23.50825254575, 0, 23.50825254575, 0, 14.118144462056, 0.50542511789132, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_VoigtP, VoigtP, 15.375244774199, 1370.4566047038, 23.887499879301, 0, 23.887499879301, 0, 14.345905697456, 0.60467105828847, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_VoigtP, VoigtP, 18.061596502305, 1370.0347200456, 24.199731539439, 0, 24.199731539439, 0, 14.533419919318, 0.70115402157067, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_VoigtP, VoigtP, 19.547550457854, 1369.7379047962, 23.748713758121, 0, 23.748713758121, 0, 14.262556137367, 0.77325028982737, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_VoigtP, VoigtP, 19.610629901589, 1369.9741397775, 23.066076027095, 0, 23.066076027095, 0, 13.852590399458, 0.79870364438585, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_VoigtP, VoigtP, 19.506691914624, 1370.1975176648, 22.564898536049, 0, 22.564898536049, 0, 13.55160264182, 0.81211602719944, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_VoigtP, VoigtP, 19.153825068083, 1370.3885429968, 21.842913248767, 0, 21.842913248767, 0, 13.118006288136, 0.82378294684182, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_VoigtP, VoigtP, 19.227394876936, 1370.6367650618, 21.185190355819, 0, 21.185190355819, 0, 12.723003435391, 0.85262078695366, 
