Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Sat Jun  6 20:56:36 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_CO2GasV3, CO2GasV3, 0.14419455433627, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_CO2GasV3, CO2GasV3, 0.19930379721109, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_CO2GasV3, CO2GasV3, 0.2333322867547, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_CO2GasV3, CO2GasV3, 0.28316729193156, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_CO2GasV3, CO2GasV3, 0.38628190912697, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_CO2GasV3, CO2GasV3, 0.4453698705466, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_CO2GasV3, CO2GasV3, 0.53122804310852, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_CO2GasV3, CO2GasV3, 0.52121473838954, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_CO2GasV3, CO2GasV3, 0.54040128698398, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_CO2GasV3, CO2GasV3, 0.53058803192432, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_CO2GasV3, CO2GasV3, 0.55213215272748, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_CO2GasV3, CO2GasV3, 0.58429420085176, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_CO2GasV3, CO2GasV3, 0.58384484427774, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_CO2GasV3, CO2GasV3, 0.49593392318002, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_CO2GasV3, CO2GasV3, 0.51058907060655, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_CO2GasV3, CO2GasV3, 0.44558393907253, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_CO2GasV3, CO2GasV3, 0.22383569609605, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_CO2GasV3, CO2GasV3, 0.14706397328639, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_CO2GasV3, CO2GasV3, 0.076995651469573, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_CO2GasV3, CO2GasV3, 0.015453036068107, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_CO2GasV3, CO2GasV3, 0.0072007804533542, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_CO2GasV3, CO2GasV3, 0.097713632517153, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_CO2GasV3, CO2GasV3, 0.23456544400679, 
FN7114 line across CO2 30 microns0024.CSV, 0024, Spec0024_CO2GasV3, CO2GasV3, 0.34287761911936, 
FN7114 line across CO2 30 microns0025.CSV, 0025, Spec0025_CO2GasV3, CO2GasV3, 0.49370062168537, 
FN7114 line across CO2 30 microns0026.CSV, 0026, Spec0026_CO2GasV3, CO2GasV3, 0.68918136218504, 
FN7114 line across CO2 30 microns0027.CSV, 0027, Spec0027_CO2GasV3, CO2GasV3, 0.77405864218116, 
FN7114 line across CO2 30 microns0028.CSV, 0028, Spec0028_CO2GasV3, CO2GasV3, 0.68048579913724, 
FN7114 line across CO2 30 microns0029.CSV, 0029, Spec0029_CO2GasV3, CO2GasV3, 0.68502649033227, 
FN7114 line across CO2 30 microns0030.CSV, 0030, Spec0030_CO2GasV3, CO2GasV3, 0.61486931560044, 
FN7114 line across CO2 30 microns0031.CSV, 0031, Spec0031_CO2GasV3, CO2GasV3, 0.54269491115372, 
FN7114 line across CO2 30 microns0032.CSV, 0032, Spec0032_CO2GasV3, CO2GasV3, 0.47777383374917, 
FN7114 line across CO2 30 microns0033.CSV, 0033, Spec0033_CO2GasV3, CO2GasV3, 0.32801857948975, 
FN7114 line across CO2 30 microns0034.CSV, 0034, Spec0034_CO2GasV3, CO2GasV3, 0.22913609239802, 
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_CO2GasV3, CO2GasV3, 0.20267217752137, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_CO2GasV3, CO2GasV3, 0.1427007378626, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_CO2GasV3, CO2GasV3, 0.20631628350037, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_CO2GasV3, CO2GasV3, 0.2090506692078, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_CO2GasV3, CO2GasV3, 0.25426912352661, 
