Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Fri Jun  5 12:05:14 2020 ---
FN7114Profile#2-31-01-20200001.CSV, 0001, Spec0001_CO2GasV2, CO2GasV2, 1.5125189115732, 
FN7114Profile#2-31-01-20200002.CSV, 0002, Spec0002_CO2GasV2, CO2GasV2, 1.2250294081791, 
FN7114Profile#2-31-01-20200003.CSV, 0003, Spec0003_CO2GasV2, CO2GasV2, 1.047277627118, 
FN7114Profile#2-31-01-20200004.CSV, 0004, Spec0004_CO2GasV2, CO2GasV2, 1.1810541744241, 
FN7114Profile#2-31-01-20200005.CSV, 0005, Spec0005_CO2GasV2, CO2GasV2, 1.3496805214408, 
FN7114Profile#2-31-01-20200006.CSV, 0006, Spec0006_CO2GasV2, CO2GasV2, 1.1429187734261, 
FN7114Profile#2-31-01-20200007.CSV, 0007, Spec0007_CO2GasV2, CO2GasV2, 0.7016905879008, 
FN7114Profile#2-31-01-20200008.CSV, 0008, Spec0008_CO2GasV2, CO2GasV2, 0.74960050952087, 
FN7114Profile#2-31-01-20200009.CSV, 0009, Spec0009_CO2GasV2, CO2GasV2, 0.89599756974475, 
FN7114Profile#2-31-01-20200010.CSV, 0010, Spec0010_CO2GasV2, CO2GasV2, 1.0457146123274, 
FN7114Profile#2-31-01-20200011.CSV, 0011, Spec0011_CO2GasV2, CO2GasV2, 1.1977979665503, 
FN7114Profile#2-31-01-20200012.CSV, 0012, Spec0012_CO2GasV2, CO2GasV2, 1.4209517235791, 
FN7114Profile#2-31-01-20200013.CSV, 0013, Spec0013_CO2GasV2, CO2GasV2, 1.4498768252517, 
FN7114Profile#2-31-01-20200014.CSV, 0014, Spec0014_CO2GasV2, CO2GasV2, 1.1456624751424, 
FN7114Profile#2-31-01-20200015.CSV, 0015, Spec0015_CO2GasV2, CO2GasV2, 0.20480242943605, 
FN7114Profile#2-31-01-20200016.CSV, 0016, Spec0016_CO2GasV2, CO2GasV2, 0.00092696683606687, 
FN7114Profile#2-31-01-20200017.CSV, 0017, Spec0017_CO2GasV2, CO2GasV2, -0.11474879052384, 
FN7114Profile#2-31-01-20200018.CSV, 0018, Spec0018_CO2GasV2, CO2GasV2, -0.085095183506877, 
FN7114Profile#2-31-01-20200019.CSV, 0019, Spec0019_CO2GasV2, CO2GasV2, 0.40687803363165, 
FN7114Profile#2-31-01-20200020.CSV, 0020, Spec0020_CO2GasV2, CO2GasV2, 0.19679070585696, 
FN7114Profile#2-31-01-20200021.CSV, 0021, Spec0021_CO2GasV2, CO2GasV2, 0.1125555826635, 
