Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0074.CSV, 0074, Spec0074_O, Oband, 345.68922002066, 
FN7114 map truncated version0075.CSV, 0075, Spec0075_O, Oband, 353.61966087682, 
FN7114 map truncated version0076.CSV, 0076, Spec0076_O, Oband, 342.49753685878, 
FN7114 map truncated version0077.CSV, 0077, Spec0077_O, Oband, 341.12430826377, 
FN7114 map truncated version0078.CSV, 0078, Spec0078_O, Oband, 347.6748168826, 
FN7114 map truncated version0079.CSV, 0079, Spec0079_O, Oband, 355.64716366136, 
FN7114 map truncated version0080.CSV, 0080, Spec0080_O, Oband, 357.64794307079, 
FN7114 map truncated version0081.CSV, 0081, Spec0081_O, Oband, 367.89967181943, 
FN7114 map truncated version0082.CSV, 0082, Spec0082_O, Oband, 370.15569248808, 
FN7114 map truncated version0083.CSV, 0083, Spec0083_O, Oband, 369.0903800712, 
FN7114 map truncated version0084.CSV, 0084, Spec0084_O, Oband, 364.55375228398, 
FN7114 map truncated version0085.CSV, 0085, Spec0085_O, Oband, 359.22441657203, 
FN7114 map truncated version0086.CSV, 0086, Spec0086_O, Oband, 358.58333226225, 
FN7114 map truncated version0087.CSV, 0087, Spec0087_O, Oband, 360.70244830329, 
FN7114 map truncated version0088.CSV, 0088, Spec0088_O, Oband, 354.11811692714, 
FN7114 map truncated version0089.CSV, 0089, Spec0089_O, Oband, 344.96426909744, 
FN7114 map truncated version0090.CSV, 0090, Spec0090_O, Oband, 362.94279691444, 
FN7114 map truncated version0091.CSV, 0091, Spec0091_O, Oband, 340.07552279329, 
FN7114 map truncated version0092.CSV, 0092, Spec0092_O, Oband, 351.73248283715, 
FN7114 map truncated version0093.CSV, 0093, Spec0093_O, Oband, 367.2427662328, 
FN7114 map truncated version0094.CSV, 0094, Spec0094_O, Oband, 370.56592394456, 
FN7114 map truncated version0095.CSV, 0095, Spec0095_O, Oband, 375.51852261736, 
FN7114 map truncated version0096.CSV, 0096, Spec0096_O, Oband, 375.21626587502, 
FN7114 map truncated version0097.CSV, 0097, Spec0097_O, Oband, 380.42299559147, 
FN7114 map truncated version0098.CSV, 0098, Spec0098_O, Oband, 382.68206176311, 
FN7114 map truncated version0099.CSV, 0099, Spec0099_O, Oband, 377.83157483536, 
FN7114 map truncated version0100.CSV, 0100, Spec0100_O, Oband, 371.94494489579, 
FN7114 map truncated version0101.CSV, 0101, Spec0101_O, Oband, 364.60026904711, 
FN7114 map truncated version0102.CSV, 0102, Spec0102_O, Oband, 358.98388708852, 
FN7114 map truncated version0103.CSV, 0103, Spec0103_O, Oband, 355.21205365951, 
FN7114 map truncated version0104.CSV, 0104, Spec0104_O, Oband, 339.68167782796, 
FN7114 map truncated version0105.CSV, 0105, Spec0105_O, Oband, 347.7333784585, 
FN7114 map truncated version0106.CSV, 0106, Spec0106_O, Oband, 359.49514398434, 
FN7114 map truncated version0107.CSV, 0107, Spec0107_O, Oband, 366.48204381355, 
FN7114 map truncated version0108.CSV, 0108, Spec0108_O, Oband, 373.48297750971, 
FN7114 map truncated version0109.CSV, 0109, Spec0109_O, Oband, 381.8731846846, 
FN7114 map truncated version0110.CSV, 0110, Spec0110_O, Oband, 384.53203387258, 
FN7114 map truncated version0111.CSV, 0111, Spec0111_O, Oband, 383.75947489745, 
FN7114 map truncated version0112.CSV, 0112, Spec0112_O, Oband, 380.33753832781, 
FN7114 map truncated version0113.CSV, 0113, Spec0113_O, Oband, 376.58971374748, 
FN7114 map truncated version0114.CSV, 0114, Spec0114_O, Oband, 365.85914459758, 
FN7114 map truncated version0115.CSV, 0115, Spec0115_O, Oband, 320.58996177437, 
FN7114 map truncated version0116.CSV, 0116, Spec0116_O, Oband, 340.37478510119, 
FN7114 map truncated version0117.CSV, 0117, Spec0117_O, Oband, 330.02594947147, 
FN7114 map truncated version0118.CSV, 0118, Spec0118_O, Oband, 318.19750360222, 
FN7114 map truncated version0119.CSV, 0119, Spec0119_O, Oband, 313.97299121126, 
FN7114 map truncated version0120.CSV, 0120, Spec0120_O, Oband, 323.16231316445, 
FN7114 map truncated version0121.CSV, 0121, Spec0121_O, Oband, 352.11974254271, 
FN7114 map truncated version0122.CSV, 0122, Spec0122_O, Oband, 365.23711281691, 
FN7114 map truncated version0123.CSV, 0123, Spec0123_O, Oband, 368.89135183191, 
FN7114 map truncated version0124.CSV, 0124, Spec0124_O, Oband, 368.00266294955, 
FN7114 map truncated version0125.CSV, 0125, Spec0125_O, Oband, 361.58165932431, 
FN7114 map truncated version0126.CSV, 0126, Spec0126_O, Oband, 356.15539285865, 
FN7114 map truncated version0127.CSV, 0127, Spec0127_O, Oband, 348.96494412441, 
FN7114 map truncated version0128.CSV, 0128, Spec0128_O, Oband, 344.90556318348, 
