Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0071.CSV, 0071, Spec0071_A, Acenter, 3.155580826553, 
FN7114 map truncated version0072.CSV, 0072, Spec0072_A, Acenter, 3.6806690940701, 
FN7114 map truncated version0073.CSV, 0073, Spec0073_A, Acenter, 3.6478960418003, 
FN7114 map truncated version0074.CSV, 0074, Spec0074_A, Acenter, 3.9369283010317, 
FN7114 map truncated version0075.CSV, 0075, Spec0075_A, Acenter, 4.4690568043608, 
FN7114 map truncated version0076.CSV, 0076, Spec0076_A, Acenter, 3.6754777219473, 
FN7114 map truncated version0077.CSV, 0077, Spec0077_A, Acenter, 3.3943373668517, 
FN7114 map truncated version0078.CSV, 0078, Spec0078_A, Acenter, 3.0508197374033, 
FN7114 map truncated version0079.CSV, 0079, Spec0079_A, Acenter, 2.8173067312493, 
FN7114 map truncated version0080.CSV, 0080, Spec0080_A, Acenter, 2.8385527477964, 
FN7114 map truncated version0081.CSV, 0081, Spec0081_A, Acenter, 2.8915990829424, 
FN7114 map truncated version0082.CSV, 0082, Spec0082_A, Acenter, 2.9317269830636, 
FN7114 map truncated version0083.CSV, 0083, Spec0083_A, Acenter, 3.0249231823505, 
FN7114 map truncated version0084.CSV, 0084, Spec0084_A, Acenter, 3.1917322187511, 
FN7114 map truncated version0085.CSV, 0085, Spec0085_A, Acenter, 3.3744760161423, 
FN7114 map truncated version0086.CSV, 0086, Spec0086_A, Acenter, 3.4572959660201, 
FN7114 map truncated version0087.CSV, 0087, Spec0087_A, Acenter, 3.7062848577591, 
FN7114 map truncated version0088.CSV, 0088, Spec0088_A, Acenter, 3.5175849096128, 
FN7114 map truncated version0089.CSV, 0089, Spec0089_A, Acenter, 3.5242471455022, 
FN7114 map truncated version0090.CSV, 0090, Spec0090_A, Acenter, 4.6446469716865, 
FN7114 map truncated version0091.CSV, 0091, Spec0091_A, Acenter, 3.8254778098616, 
FN7114 map truncated version0092.CSV, 0092, Spec0092_A, Acenter, 3.4544392130319, 
FN7114 map truncated version0093.CSV, 0093, Spec0093_A, Acenter, 3.1438982188633, 
FN7114 map truncated version0094.CSV, 0094, Spec0094_A, Acenter, 3.0840764591307, 
FN7114 map truncated version0095.CSV, 0095, Spec0095_A, Acenter, 3.0762206326235, 
FN7114 map truncated version0096.CSV, 0096, Spec0096_A, Acenter, 3.0644205983742, 
FN7114 map truncated version0097.CSV, 0097, Spec0097_A, Acenter, 3.0490156789179, 
FN7114 map truncated version0098.CSV, 0098, Spec0098_A, Acenter, 3.1489672967523, 
FN7114 map truncated version0099.CSV, 0099, Spec0099_A, Acenter, 3.2922857037346, 
FN7114 map truncated version0100.CSV, 0100, Spec0100_A, Acenter, 3.5149244447579, 
FN7114 map truncated version0101.CSV, 0101, Spec0101_A, Acenter, 3.6464307281226, 
FN7114 map truncated version0102.CSV, 0102, Spec0102_A, Acenter, 3.6603308772897, 
FN7114 map truncated version0103.CSV, 0103, Spec0103_A, Acenter, 3.4775877638994, 
FN7114 map truncated version0104.CSV, 0104, Spec0104_A, Acenter, 3.0735859297942, 
FN7114 map truncated version0105.CSV, 0105, Spec0105_A, Acenter, 3.4120261879789, 
FN7114 map truncated version0106.CSV, 0106, Spec0106_A, Acenter, 3.9016154465615, 
FN7114 map truncated version0107.CSV, 0107, Spec0107_A, Acenter, 3.755712576363, 
FN7114 map truncated version0108.CSV, 0108, Spec0108_A, Acenter, 3.35640944182, 
FN7114 map truncated version0109.CSV, 0109, Spec0109_A, Acenter, 3.1815674854909, 
FN7114 map truncated version0110.CSV, 0110, Spec0110_A, Acenter, 3.179933511623, 
FN7114 map truncated version0111.CSV, 0111, Spec0111_A, Acenter, 3.0858228857123, 
FN7114 map truncated version0112.CSV, 0112, Spec0112_A, Acenter, 2.9563239386768, 
FN7114 map truncated version0113.CSV, 0113, Spec0113_A, Acenter, 2.8552850699726, 
FN7114 map truncated version0114.CSV, 0114, Spec0114_A, Acenter, 2.8246367177777, 
FN7114 map truncated version0115.CSV, 0115, Spec0115_A, Acenter, 4.9438166433086, 
FN7114 map truncated version0116.CSV, 0116, Spec0116_A, Acenter, 2.7783371771455, 
FN7114 map truncated version0117.CSV, 0117, Spec0117_A, Acenter, 2.2493660079034, 
FN7114 map truncated version0118.CSV, 0118, Spec0118_A, Acenter, 1.9520991905442, 
FN7114 map truncated version0119.CSV, 0119, Spec0119_A, Acenter, 1.9145062835332, 
FN7114 map truncated version0120.CSV, 0120, Spec0120_A, Acenter, 2.7541952155268, 
FN7114 map truncated version0121.CSV, 0121, Spec0121_A, Acenter, 3.0633455114667, 
FN7114 map truncated version0122.CSV, 0122, Spec0122_A, Acenter, 3.0967801547144, 
FN7114 map truncated version0123.CSV, 0123, Spec0123_A, Acenter, 2.5805154257549, 
FN7114 map truncated version0124.CSV, 0124, Spec0124_A, Acenter, 2.168439026945, 
FN7114 map truncated version0125.CSV, 0125, Spec0125_A, Acenter, 2.0522833273326, 
FN7114 map truncated version0126.CSV, 0126, Spec0126_A, Acenter, 1.81216912638, 
FN7114 map truncated version0127.CSV, 0127, Spec0127_A, Acenter, 1.5890190090347, 
FN7114 map truncated version0128.CSV, 0128, Spec0128_A, Acenter, 1.3410334027499, 
FN7114 map truncated version0129.CSV, 0129, Spec0129_A, Acenter, 1.1302393349391, 
FN7114 map truncated version0130.CSV, 0130, Spec0130_A, Acenter, 1.0382951688016, 
FN7114 map truncated version0131.CSV, 0131, Spec0131_A, Acenter, 0.94944867804667, 
FN7114 map truncated version0132.CSV, 0132, Spec0132_A, Acenter, 0.46528567042963, 
FN7114 map truncated version0133.CSV, 0133, Spec0133_A, Acenter, 0.45127776413672, 
FN7114 map truncated version0134.CSV, 0134, Spec0134_A, Acenter, 3.4000239953476, 
FN7114 map truncated version0135.CSV, 0135, Spec0135_A, Acenter, 2.767549422254, 
FN7114 map truncated version0136.CSV, 0136, Spec0136_A, Acenter, 1.5285255275891, 
FN7114 map truncated version0137.CSV, 0137, Spec0137_A, Acenter, 1.1965920575318, 
FN7114 map truncated version0138.CSV, 0138, Spec0138_A, Acenter, 0.71497980584994, 
