Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Fri Jun  5 15:53:30 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0031.CSV, 0031, Spec0031_VoigtD, VoigtD, 0, 2371.2310882697, 37.620763960864, 0, 37.620763960864, 0, 22.59357131453, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0032.CSV, 0032, Spec0032_VoigtD, VoigtD, 0, 2371.322454247, 37.98761780925, 0, 37.98761780925, 0, 22.813889503553, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0033.CSV, 0033, Spec0033_VoigtD, VoigtD, 0, 2371.485172472, 38.78363153939, 0, 38.78363153939, 0, 23.291944468039, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0034.CSV, 0034, Spec0034_VoigtD, VoigtD, 0, 2371.5740165901, 39.5304673341, 0, 39.5304673341, 0, 23.740465072394, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0035.CSV, 0035, Spec0035_VoigtD, VoigtD, 0, 2371.2675499352, 40.174650378275, 0, 40.174650378275, 0, 24.127336417254, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0036.CSV, 0036, Spec0036_VoigtD, VoigtD, 0, 2370.9502441823, 40.308390748823, 0, 40.308390748823, 0, 24.207655695266, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0037.CSV, 0037, Spec0037_VoigtD, VoigtD, 0, 2371.0273945696, 40.497861897072, 0, 40.497861897072, 0, 24.321444716256, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0038.CSV, 0038, Spec0038_VoigtD, VoigtD, 0, 2371.0813487363, 41.231668344317, 0, 41.231668344317, 0, 24.762140400005, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0039.CSV, 0039, Spec0039_VoigtD, VoigtD, 0, 2370.921956838, 40.246343543292, 0, 40.246343543292, 0, 24.170392550783, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0040.CSV, 0040, Spec0040_VoigtD, VoigtD, 0, 2370.4217953444, 40.189737048447, 0, 40.189737048447, 0, 24.136396886062, 0, 
