Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sat Jun  6 20:56:36 2020 ---
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_VoigtD, VoigtD, 0, 2373.5057722027, 38.769375721406, 0, 38.769375721406, 0, 23.283382976821, 0, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_VoigtD, VoigtD, 0, 2373.8162815659, 40.725796062711, 0, 40.725796062711, 0, 24.458333133294, 0, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_VoigtD, VoigtD, 0, 2374.0590935674, 41.996354155297, 0, 41.996354155297, 0, 25.22138103163, 0, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_VoigtD, VoigtD, 0, 2374.3384236666, 42.994812490557, 0, 42.994812490557, 0, 25.82101637199, 0, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_VoigtD, VoigtD, 0, 2374.5797310721, 44.629921602646, 0, 44.629921602646, 0, 26.80299946966, 0, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_VoigtD, VoigtD, 0, 2374.6203927456, 44.805047686204, 0, 44.805047686204, 0, 26.908173401322, 0, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_VoigtD, VoigtD, 0, 2374.774788075, 44.929350639192, 0, 44.929350639192, 0, 26.982824932478, 0, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_VoigtD, VoigtD, 0, 2375.0189509077, 45.191921947116, 0, 45.191921947116, 0, 27.140515073405, 0, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_VoigtD, VoigtD, 0, 2375.3650131281, 46.010021177764, 0, 46.010021177764, 0, 27.631833732676, 0, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_VoigtD, VoigtD, 0, 2375.3797893513, 46.232950685206, 0, 46.232950685206, 0, 27.76571654616, 0, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_VoigtD, VoigtD, 0, 2375.3344293606, 46.79949602992, 0, 46.79949602992, 0, 28.105961700725, 0, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_VoigtD, VoigtD, 0, 2375.268697731, 46.576297452545, 0, 46.576297452545, 0, 27.971917294278, 0, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_VoigtD, VoigtD, 0, 2375.0592487356, 45.699384455343, 0, 45.699384455343, 0, 27.44527736853, 0, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_VoigtD, VoigtD, 0, 2374.6126685203, 44.199791954939, 0, 44.199791954939, 0, 26.544680290388, 0, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_VoigtD, VoigtD, 0, 2374.3377085009, 44.318326551296, 0, 44.318326551296, 0, 26.615867570338, 0, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_VoigtD, VoigtD, 0, 2374.2518749484, 44.600763079014, 0, 44.600763079014, 0, 26.78548799159, 0, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_VoigtD, VoigtD, 0, 2374.3208765334, 46.148846359936, 0, 46.148846359936, 0, 27.715206751281, 0, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_VoigtD, VoigtD, 0, 2374.5249175735, 48.545879061174, 0, 48.545879061174, 0, 29.154771597306, 0, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_VoigtD, VoigtD, 0, 2375.0936437185, 51.576184862075, 0, 51.576184862075, 0, 30.974655698775, 0, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_VoigtD, VoigtD, 0, 2375.5799583341, 54.156752852433, 0, 54.156752852433, 0, 32.524444719083, 0, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_VoigtD, VoigtD, 0, 2375.6324770796, 55.983329708508, 0, 55.983329708508, 0, 33.621415915685, 0, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_VoigtD, VoigtD, 0, 2375.5992629187, 57.327688586343, 0, 57.327688586343, 0, 34.428785702494, 0, 
