Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0078.CSV, 0078, Spec0078_B, Bcenter, 0, 
FN7114 map truncated version0079.CSV, 0079, Spec0079_B, Bcenter, 0, 
FN7114 map truncated version0080.CSV, 0080, Spec0080_B, Bcenter, 0, 
FN7114 map truncated version0081.CSV, 0081, Spec0081_B, Bcenter, 0, 
FN7114 map truncated version0082.CSV, 0082, Spec0082_B, Bcenter, 0, 
FN7114 map truncated version0083.CSV, 0083, Spec0083_B, Bcenter, 0, 
FN7114 map truncated version0084.CSV, 0084, Spec0084_B, Bcenter, 0, 
FN7114 map truncated version0085.CSV, 0085, Spec0085_B, Bcenter, 0, 
FN7114 map truncated version0086.CSV, 0086, Spec0086_B, Bcenter, 0, 
FN7114 map truncated version0087.CSV, 0087, Spec0087_B, Bcenter, 0, 
FN7114 map truncated version0088.CSV, 0088, Spec0088_B, Bcenter, 0, 
FN7114 map truncated version0089.CSV, 0089, Spec0089_B, Bcenter, 0, 
FN7114 map truncated version0090.CSV, 0090, Spec0090_B, Bcenter, 0, 
FN7114 map truncated version0091.CSV, 0091, Spec0091_B, Bcenter, 0, 
FN7114 map truncated version0092.CSV, 0092, Spec0092_B, Bcenter, 0, 
FN7114 map truncated version0093.CSV, 0093, Spec0093_B, Bcenter, 0, 
FN7114 map truncated version0094.CSV, 0094, Spec0094_B, Bcenter, 0, 
FN7114 map truncated version0095.CSV, 0095, Spec0095_B, Bcenter, 0, 
FN7114 map truncated version0096.CSV, 0096, Spec0096_B, Bcenter, 0, 
FN7114 map truncated version0097.CSV, 0097, Spec0097_B, Bcenter, 0, 
FN7114 map truncated version0098.CSV, 0098, Spec0098_B, Bcenter, 0, 
FN7114 map truncated version0099.CSV, 0099, Spec0099_B, Bcenter, 0, 
FN7114 map truncated version0100.CSV, 0100, Spec0100_B, Bcenter, 0, 
FN7114 map truncated version0101.CSV, 0101, Spec0101_B, Bcenter, 0, 
FN7114 map truncated version0102.CSV, 0102, Spec0102_B, Bcenter, 0, 
FN7114 map truncated version0103.CSV, 0103, Spec0103_B, Bcenter, 0, 
FN7114 map truncated version0104.CSV, 0104, Spec0104_B, Bcenter, 0, 
FN7114 map truncated version0105.CSV, 0105, Spec0105_B, Bcenter, 0, 
FN7114 map truncated version0106.CSV, 0106, Spec0106_B, Bcenter, 0, 
FN7114 map truncated version0107.CSV, 0107, Spec0107_B, Bcenter, 0, 
FN7114 map truncated version0108.CSV, 0108, Spec0108_B, Bcenter, 0, 
FN7114 map truncated version0109.CSV, 0109, Spec0109_B, Bcenter, 0, 
FN7114 map truncated version0110.CSV, 0110, Spec0110_B, Bcenter, 0, 
FN7114 map truncated version0111.CSV, 0111, Spec0111_B, Bcenter, 0, 
FN7114 map truncated version0112.CSV, 0112, Spec0112_B, Bcenter, 0, 
FN7114 map truncated version0113.CSV, 0113, Spec0113_B, Bcenter, 0, 
FN7114 map truncated version0114.CSV, 0114, Spec0114_B, Bcenter, 0, 
FN7114 map truncated version0115.CSV, 0115, Spec0115_B, Bcenter, 8.8817841970013e-16, 
FN7114 map truncated version0116.CSV, 0116, Spec0116_B, Bcenter, 0, 
FN7114 map truncated version0117.CSV, 0117, Spec0117_B, Bcenter, 0, 
FN7114 map truncated version0118.CSV, 0118, Spec0118_B, Bcenter, 0, 
FN7114 map truncated version0119.CSV, 0119, Spec0119_B, Bcenter, 0, 
FN7114 map truncated version0120.CSV, 0120, Spec0120_B, Bcenter, 0, 
FN7114 map truncated version0121.CSV, 0121, Spec0121_B, Bcenter, 0, 
FN7114 map truncated version0122.CSV, 0122, Spec0122_B, Bcenter, 0, 
FN7114 map truncated version0123.CSV, 0123, Spec0123_B, Bcenter, 0, 
FN7114 map truncated version0124.CSV, 0124, Spec0124_B, Bcenter, 0, 
FN7114 map truncated version0125.CSV, 0125, Spec0125_B, Bcenter, 0, 
FN7114 map truncated version0126.CSV, 0126, Spec0126_B, Bcenter, 0, 
FN7114 map truncated version0127.CSV, 0127, Spec0127_B, Bcenter, 0, 
FN7114 map truncated version0128.CSV, 0128, Spec0128_B, Bcenter, 0, 
FN7114 map truncated version0129.CSV, 0129, Spec0129_B, Bcenter, 0, 
FN7114 map truncated version0130.CSV, 0130, Spec0130_B, Bcenter, 0, 
FN7114 map truncated version0131.CSV, 0131, Spec0131_B, Bcenter, 0, 
FN7114 map truncated version0132.CSV, 0132, Spec0132_B, Bcenter, 0, 
FN7114 map truncated version0133.CSV, 0133, Spec0133_B, Bcenter, 0, 
FN7114 map truncated version0134.CSV, 0134, Spec0134_B, Bcenter, 4.4408920985006e-16, 
FN7114 map truncated version0135.CSV, 0135, Spec0135_B, Bcenter, 0, 
FN7114 map truncated version0136.CSV, 0136, Spec0136_B, Bcenter, 0, 
FN7114 map truncated version0137.CSV, 0137, Spec0137_B, Bcenter, 0, 
FN7114 map truncated version0138.CSV, 0138, Spec0138_B, Bcenter, 0, 
FN7114 map truncated version0139.CSV, 0139, Spec0139_B, Bcenter, 0, 
FN7114 map truncated version0140.CSV, 0140, Spec0140_B, Bcenter, 0, 
FN7114 map truncated version0141.CSV, 0141, Spec0141_B, Bcenter, 0, 
FN7114 map truncated version0142.CSV, 0142, Spec0142_B, Bcenter, 0, 
FN7114 map truncated version0143.CSV, 0143, Spec0143_B, Bcenter, 0, 
FN7114 map truncated version0144.CSV, 0144, Spec0144_B, Bcenter, 0, 
FN7114 map truncated version0145.CSV, 0145, Spec0145_B, Bcenter, 0, 
FN7114 map truncated version0146.CSV, 0146, Spec0146_B, Bcenter, 0.030359390840228, 
FN7114 map truncated version0147.CSV, 0147, Spec0147_B, Bcenter, 0.82009413375063, 
FN7114 map truncated version0148.CSV, 0148, Spec0148_B, Bcenter, 0.028596765744997, 
FN7114 map truncated version0149.CSV, 0149, Spec0149_B, Bcenter, 1.8718011714937, 
FN7114 map truncated version0150.CSV, 0150, Spec0150_B, Bcenter, 4.0608300250659, 
FN7114 map truncated version0151.CSV, 0151, Spec0151_B, Bcenter, 0, 
FN7114 map truncated version0152.CSV, 0152, Spec0152_B, Bcenter, 0, 
FN7114 map truncated version0153.CSV, 0153, Spec0153_B, Bcenter, 0, 
FN7114 map truncated version0154.CSV, 0154, Spec0154_B, Bcenter, 0, 
FN7114 map truncated version0155.CSV, 0155, Spec0155_B, Bcenter, 0, 
