Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Fri Jun  5 15:51:09 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0045.CSV, 0045, Spec0045_CO2GasV2, CO2GasV2, 1.3813329779649, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0046.CSV, 0046, Spec0046_CO2GasV2, CO2GasV2, 1.1929582781814, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0047.CSV, 0047, Spec0047_CO2GasV2, CO2GasV2, 1.1749606459631, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0048.CSV, 0048, Spec0048_CO2GasV2, CO2GasV2, 1.0213106202782, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0049.CSV, 0049, Spec0049_CO2GasV2, CO2GasV2, 1.0040693701916, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0050.CSV, 0050, Spec0050_CO2GasV2, CO2GasV2, 1.0086748919569, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0051.CSV, 0051, Spec0051_CO2GasV2, CO2GasV2, 0.89971100177712, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0052.CSV, 0052, Spec0052_CO2GasV2, CO2GasV2, 0.93440109953619, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0053.CSV, 0053, Spec0053_CO2GasV2, CO2GasV2, 0.97745538929569, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0054.CSV, 0054, Spec0054_CO2GasV2, CO2GasV2, 0.96910684931876, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0055.CSV, 0055, Spec0055_CO2GasV2, CO2GasV2, 0.81229455051902, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0056.CSV, 0056, Spec0056_CO2GasV2, CO2GasV2, 0.83394693067762, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0057.CSV, 0057, Spec0057_CO2GasV2, CO2GasV2, 0.9457634197125, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0058.CSV, 0058, Spec0058_CO2GasV2, CO2GasV2, 0.99818342490773, 
