Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 12:18:53 2020 ---
FN7112 map truncated version0001.CSV, 0001, Spec0001_CO2GasV3, CO2GasV3, 0.27721710912782, 
FN7112 map truncated version0002.CSV, 0002, Spec0002_CO2GasV3, CO2GasV3, 0.28598177750651, 
FN7112 map truncated version0003.CSV, 0003, Spec0003_CO2GasV3, CO2GasV3, 0.24868999362878, 
FN7112 map truncated version0004.CSV, 0004, Spec0004_CO2GasV3, CO2GasV3, 0.19841016625319, 
FN7112 map truncated version0005.CSV, 0005, Spec0005_CO2GasV3, CO2GasV3, 0.26322104022292, 
FN7112 map truncated version0006.CSV, 0006, Spec0006_CO2GasV3, CO2GasV3, 0.38684237580441, 
FN7112 map truncated version0007.CSV, 0007, Spec0007_CO2GasV3, CO2GasV3, 0.35031152974713, 
FN7112 map truncated version0008.CSV, 0008, Spec0008_CO2GasV3, CO2GasV3, 0.31441863403531, 
FN7112 map truncated version0009.CSV, 0009, Spec0009_CO2GasV3, CO2GasV3, 0.29997409843634, 
FN7112 map truncated version0010.CSV, 0010, Spec0010_CO2GasV3, CO2GasV3, 0.33625937666298, 
FN7112 map truncated version0011.CSV, 0011, Spec0011_CO2GasV3, CO2GasV3, 0.27420656033696, 
FN7112 map truncated version0012.CSV, 0012, Spec0012_CO2GasV3, CO2GasV3, 0.22783703707923, 
FN7112 map truncated version0013.CSV, 0013, Spec0013_CO2GasV3, CO2GasV3, 0.2031909249229, 
FN7112 map truncated version0014.CSV, 0014, Spec0014_CO2GasV3, CO2GasV3, 0.19888313079954, 
FN7112 map truncated version0015.CSV, 0015, Spec0015_CO2GasV3, CO2GasV3, 0.1577400114436, 
FN7112 map truncated version0016.CSV, 0016, Spec0016_CO2GasV3, CO2GasV3, 0.14845856723882, 
FN7112 map truncated version0017.CSV, 0017, Spec0017_CO2GasV3, CO2GasV3, 0.42176450370927, 
FN7112 map truncated version0018.CSV, 0018, Spec0018_CO2GasV3, CO2GasV3, 0.4393572372703, 
FN7112 map truncated version0019.CSV, 0019, Spec0019_CO2GasV3, CO2GasV3, 0.53409156557027, 
FN7112 map truncated version0020.CSV, 0020, Spec0020_CO2GasV3, CO2GasV3, 0.61334840182439, 
FN7112 map truncated version0021.CSV, 0021, Spec0021_CO2GasV3, CO2GasV3, 0.56917008405579, 
FN7112 map truncated version0022.CSV, 0022, Spec0022_CO2GasV3, CO2GasV3, 0.52557925294315, 
FN7112 map truncated version0023.CSV, 0023, Spec0023_CO2GasV3, CO2GasV3, 0.52122439778092, 
FN7112 map truncated version0024.CSV, 0024, Spec0024_CO2GasV3, CO2GasV3, 0.59758322822114, 
FN7112 map truncated version0025.CSV, 0025, Spec0025_CO2GasV3, CO2GasV3, 0.54505861288062, 
FN7112 map truncated version0026.CSV, 0026, Spec0026_CO2GasV3, CO2GasV3, 0.57831638389901, 
FN7112 map truncated version0027.CSV, 0027, Spec0027_CO2GasV3, CO2GasV3, 0.63796109872873, 
FN7112 map truncated version0028.CSV, 0028, Spec0028_CO2GasV3, CO2GasV3, 0.65695369738362, 
FN7112 map truncated version0029.CSV, 0029, Spec0029_CO2GasV3, CO2GasV3, 0.63632211302328, 
