Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Fri Jun  5 15:53:30 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0001.CSV, 0001, Spec0001_CO2GasV3, CO2GasV3, 0.48249620854417, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0002.CSV, 0002, Spec0002_CO2GasV3, CO2GasV3, 0.5581294670491, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0003.CSV, 0003, Spec0003_CO2GasV3, CO2GasV3, 0.63583425050308, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0004.CSV, 0004, Spec0004_CO2GasV3, CO2GasV3, 0.61081905915255, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0005.CSV, 0005, Spec0005_CO2GasV3, CO2GasV3, 0.63659349688578, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0006.CSV, 0006, Spec0006_CO2GasV3, CO2GasV3, 0.61215477565731, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0007.CSV, 0007, Spec0007_CO2GasV3, CO2GasV3, 0.70585253319637, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0008.CSV, 0008, Spec0008_CO2GasV3, CO2GasV3, 0.81808307608904, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0009.CSV, 0009, Spec0009_CO2GasV3, CO2GasV3, 0.97760103130797, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0010.CSV, 0010, Spec0010_CO2GasV3, CO2GasV3, 0.97152449477188, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0011.CSV, 0011, Spec0011_CO2GasV3, CO2GasV3, 0.93184184254294, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0012.CSV, 0012, Spec0012_CO2GasV3, CO2GasV3, 0.98558989503648, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0013.CSV, 0013, Spec0013_CO2GasV3, CO2GasV3, 1.2073644410938, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0014.CSV, 0014, Spec0014_CO2GasV3, CO2GasV3, 1.1463087294633, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0015.CSV, 0015, Spec0015_CO2GasV3, CO2GasV3, 1.2193681872312, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0016.CSV, 0016, Spec0016_CO2GasV3, CO2GasV3, 1.285347137131, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0017.CSV, 0017, Spec0017_CO2GasV3, CO2GasV3, 1.3283638337575, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0018.CSV, 0018, Spec0018_CO2GasV3, CO2GasV3, 1.2337473168962, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0019.CSV, 0019, Spec0019_CO2GasV3, CO2GasV3, 1.1543027052061, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0020.CSV, 0020, Spec0020_CO2GasV3, CO2GasV3, 1.1473506287033, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0021.CSV, 0021, Spec0021_CO2GasV3, CO2GasV3, 1.0170032793121, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0022.CSV, 0022, Spec0022_CO2GasV3, CO2GasV3, 0.87629717900848, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0023.CSV, 0023, Spec0023_CO2GasV3, CO2GasV3, 0.81583748774159, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0024.CSV, 0024, Spec0024_CO2GasV3, CO2GasV3, 0.85287286036671, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0025.CSV, 0025, Spec0025_CO2GasV3, CO2GasV3, 0.87661874034096, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0026.CSV, 0026, Spec0026_CO2GasV3, CO2GasV3, 0.87436121062094, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0027.CSV, 0027, Spec0027_CO2GasV3, CO2GasV3, 0.85670861974155, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0028.CSV, 0028, Spec0028_CO2GasV3, CO2GasV3, 0.80527680789669, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0029.CSV, 0029, Spec0029_CO2GasV3, CO2GasV3, 0.75581718003212, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0030.CSV, 0030, Spec0030_CO2GasV3, CO2GasV3, 0.74249981957959, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0031.CSV, 0031, Spec0031_CO2GasV3, CO2GasV3, 0.73470178500274, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0032.CSV, 0032, Spec0032_CO2GasV3, CO2GasV3, 0.77686456674375, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0033.CSV, 0033, Spec0033_CO2GasV3, CO2GasV3, 0.82561829030377, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0034.CSV, 0034, Spec0034_CO2GasV3, CO2GasV3, 0.86210270580832, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0035.CSV, 0035, Spec0035_CO2GasV3, CO2GasV3, 0.91411871984223, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0036.CSV, 0036, Spec0036_CO2GasV3, CO2GasV3, 0.93279953686116, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0037.CSV, 0037, Spec0037_CO2GasV3, CO2GasV3, 0.96594192105869, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0038.CSV, 0038, Spec0038_CO2GasV3, CO2GasV3, 0.99061665106277, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0039.CSV, 0039, Spec0039_CO2GasV3, CO2GasV3, 0.99203900046945, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0040.CSV, 0040, Spec0040_CO2GasV3, CO2GasV3, 0.99533978561631, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0041.CSV, 0041, Spec0041_CO2GasV3, CO2GasV3, 1.0605095795845, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0042.CSV, 0042, Spec0042_CO2GasV3, CO2GasV3, 1.122926599153, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0043.CSV, 0043, Spec0043_CO2GasV3, CO2GasV3, 0.97425888209434, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0044.CSV, 0044, Spec0044_CO2GasV3, CO2GasV3, 0.94579662843857, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0045.CSV, 0045, Spec0045_CO2GasV3, CO2GasV3, 0.93524492750383, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0046.CSV, 0046, Spec0046_CO2GasV3, CO2GasV3, 0.85957203599036, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0047.CSV, 0047, Spec0047_CO2GasV3, CO2GasV3, 0.79532669518522, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0048.CSV, 0048, Spec0048_CO2GasV3, CO2GasV3, 0.81635666734938, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0049.CSV, 0049, Spec0049_CO2GasV3, CO2GasV3, 0.62048921875731, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0050.CSV, 0050, Spec0050_CO2GasV3, CO2GasV3, 0.61322910684824, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0051.CSV, 0051, Spec0051_CO2GasV3, CO2GasV3, 0.63852601195308, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0052.CSV, 0052, Spec0052_CO2GasV3, CO2GasV3, 0.63178680919669, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0053.CSV, 0053, Spec0053_CO2GasV3, CO2GasV3, 0.63875824488812, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0054.CSV, 0054, Spec0054_CO2GasV3, CO2GasV3, 0.5853310058397, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0055.CSV, 0055, Spec0055_CO2GasV3, CO2GasV3, 0.53930807658246, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0056.CSV, 0056, Spec0056_CO2GasV3, CO2GasV3, 0.56969993049006, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0057.CSV, 0057, Spec0057_CO2GasV3, CO2GasV3, 0.66248932460594, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0058.CSV, 0058, Spec0058_CO2GasV3, CO2GasV3, 0.6699903470435, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0059.CSV, 0059, Spec0059_CO2GasV3, CO2GasV3, 0.66408912918082, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0060.CSV, 0060, Spec0060_CO2GasV3, CO2GasV3, 0.68066347572247, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0061.CSV, 0061, Spec0061_CO2GasV3, CO2GasV3, 0.6790128524479, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0062.CSV, 0062, Spec0062_CO2GasV3, CO2GasV3, 0.65273589460996, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0063.CSV, 0063, Spec0063_CO2GasV3, CO2GasV3, 0.67398769063843, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0064.CSV, 0064, Spec0064_CO2GasV3, CO2GasV3, 0.63799586062657, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0065.CSV, 0065, Spec0065_CO2GasV3, CO2GasV3, 0.57289909181254, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0066.CSV, 0066, Spec0066_CO2GasV3, CO2GasV3, 0.57181312268506, 
